model,MAE,RMSE,MAPE
arima,1.1258363479626996,1.4272380959349547,47.362453434358045
prophet,3.20220143570189,4.143090198455223,132.57433200046555
xgb_or_rf,2.5629419733713332,4.162983931998257,108.6204501170362
lstm,764197.068962954,1279983.3753852483,32955043.088934176
