Date,Symbol,Open,High,Low,Close,Volume
2023-01-15,VET-USD,0.020716000348329544,0.021331999450922012,0.020224999636411667,0.021114999428391457,58422993
2023-01-16,VET-USD,0.02111399918794632,0.021810999140143394,0.02046000026166439,0.021309999749064445,58814632
2023-01-17,VET-USD,0.021310999989509583,0.02167299948632717,0.021049000322818756,0.021306000649929047,48184508
2023-01-18,VET-USD,0.021304000169038773,0.02163100056350231,0.019670000299811363,0.019711000844836235,63412771
2023-01-19,VET-USD,0.019708000123500824,0.02043600007891655,0.019706999883055687,0.02034199982881546,36083386
2023-01-20,VET-USD,0.02034199982881546,0.022440999746322632,0.020065000280737877,0.022440999746322632,47605853
2023-01-21,VET-USD,0.022443000227212906,0.022523000836372375,0.021717999130487442,0.021807000041007996,58517436
2023-01-22,VET-USD,0.02180499956011772,0.0228899996727705,0.021789999678730965,0.022224999964237213,55200759
2023-01-23,VET-USD,0.022224999964237213,0.023055000230669975,0.02211100049316883,0.022908000275492668,54033223
2023-01-24,VET-USD,0.02290399931371212,0.02343199960887432,0.021637000143527985,0.021841999143362045,57547619
2023-01-25,VET-USD,0.021844999864697456,0.023281000554561615,0.02130799926817417,0.023034000769257545,56179647
2023-01-26,VET-USD,0.023026999086141586,0.023969000205397606,0.022944999858736992,0.02386000007390976,66250307
2023-01-27,VET-USD,0.023861000314354897,0.02510800026357174,0.023298000916838646,0.024870000779628754,69357997
2023-01-28,VET-USD,0.02487199939787388,0.02500000037252903,0.02386399917304516,0.024149000644683838,44297819
2023-01-29,VET-USD,0.0241519995033741,0.024788999930024147,0.023979000747203827,0.024608999490737915,46619334
2023-01-30,VET-USD,0.024607999250292778,0.024644000455737114,0.022700000554323196,0.02301900088787079,68832061
2023-01-31,VET-USD,0.023022999987006187,0.0234570000320673,0.02294600009918213,0.023152999579906464,49651689
2023-02-01,VET-USD,0.023150000721216202,0.025203000754117966,0.022200999781489372,0.024814000353217125,91184070
2023-02-02,VET-USD,0.024802999570965767,0.02517700009047985,0.023883000016212463,0.024056000635027885,70594039
2023-02-03,VET-USD,0.0240509994328022,0.024911999702453613,0.0240509994328022,0.024829000234603882,60148826
2023-02-04,VET-USD,0.02482599951326847,0.02523300051689148,0.024460000917315483,0.02490999922156334,47818305
2023-02-05,VET-USD,0.02490900084376335,0.02499300055205822,0.023916000500321388,0.02424200065433979,63166293
2023-02-06,VET-USD,0.024240000173449516,0.024633999913930893,0.023661000654101372,0.023927999660372734,47310695
2023-02-07,VET-USD,0.023924000561237335,0.026038000360131264,0.02388099953532219,0.025969000533223152,68593731
2023-02-08,VET-USD,0.02596599981188774,0.026667000725865364,0.025136999785900116,0.025715000927448273,76846268
2023-02-09,VET-USD,0.025723999366164207,0.026427000761032104,0.022948000580072403,0.023256000131368637,96993812
