date,symbol,volume,volume_ma_30,close
2022-12-11,LTC-USD,286405662.0,286405662.0,76.6280517578125
2022-12-12,LTC-USD,463127138.0,374766400.0,76.22152709960938
2022-12-13,LTC-USD,680106244.0,476546348.0,77.344482421875
2022-12-14,LTC-USD,583539478.0,503294630.5,75.47586059570312
2022-12-15,LTC-USD,471322636.0,496900231.6,72.3354721069336
2022-12-16,LTC-USD,725577784.0,535013157.0,66.32679748535156
2022-12-17,LTC-USD,688308693.0,556912519.2857143,64.9578857421875
2022-12-18,LTC-USD,335700601.0,529261029.5,64.55413055419922
2022-12-19,LTC-USD,461264127.0,521705818.1111111,63.3414306640625
2022-12-20,LTC-USD,519783204.0,521513556.7,65.74638366699219
2022-12-21,LTC-USD,375489125.0,508238608.3636364,65.39140319824219
2022-12-22,LTC-USD,368489876.0,496592880.6666667,66.15167236328125
2022-12-23,LTC-USD,306694378.0,481985303.53846157,65.77222442626953
2022-12-24,LTC-USD,178396939.0,460300420.35714287,65.77478790283203
2022-12-25,LTC-USD,335124962.0,451955389.8,69.20626831054688
2022-12-26,LTC-USD,457389047.0,452294993.375,70.68474578857422
2022-12-27,LTC-USD,440850738.0,451621801.88235295,68.74790954589844
2022-12-28,LTC-USD,457672812.0,451957969.1111111,66.33906555175781
2022-12-29,LTC-USD,337784432.0,445948835.57894737,66.7510757446289
2022-12-30,LTC-USD,324391932.0,439870990.4,67.99403381347656
2022-12-31,LTC-USD,367586009.0,436428848.4285714,69.9962158203125
2023-01-01,LTC-USD,344383885.0,432244986.45454544,70.81565856933594
2023-01-02,LTC-USD,699498243.0,443864693.26086956,74.86290740966797
2023-01-03,LTC-USD,562329324.0,448800719.5416667,75.60272216796875
2023-01-04,LTC-USD,577893231.0,453964420.0,75.43390655517578
2023-01-05,LTC-USD,432215597.0,453127926.8076923,74.25080871582031
2023-01-06,LTC-USD,537790219.0,456263567.2592593,75.9925765991211
2023-01-07,LTC-USD,332539243.0,451844841.39285713,76.37344360351562
2023-01-08,LTC-USD,384160222.0,449510889.0,77.6822738647461
2023-01-09,LTC-USD,879528523.0,463844810.1333333,81.747314453125
2023-01-10,LTC-USD,561103552.0,473001406.46666664,80.88751983642578
2023-01-11,LTC-USD,651624972.0,479284667.6,84.0703125
2023-01-12,LTC-USD,919252860.0,487256221.46666664,85.96422576904297
2023-01-13,LTC-USD,726155927.0,492010103.1,86.34003448486328
2023-01-14,LTC-USD,1235692684.0,517489104.7,87.81385803222656
2023-01-15,LTC-USD,575262096.0,512478581.76666665,87.36553192138672
2023-01-16,LTC-USD,643419793.0,510982285.1,85.83431243896484
2023-01-17,LTC-USD,689233513.0,522766715.5,87.11742401123047
2023-01-18,LTC-USD,745330320.0,532235588.6,82.77532958984375
2023-01-19,LTC-USD,468877565.0,530538733.96666664,84.23226928710938
2023-01-20,LTC-USD,618138690.0,538627052.8,90.49322509765624
2023-01-21,LTC-USD,678058077.0,548945992.8333334,88.31465148925781
2023-01-22,LTC-USD,525923629.0,556253634.5333333,87.62997436523438
2023-01-23,LTC-USD,674337929.0,572785000.8666667,90.02592468261719
2023-01-24,LTC-USD,508764326.0,578572979.6666666,87.202880859375
2023-01-25,LTC-USD,526831341.0,580887722.8,89.38101196289062
2023-01-26,LTC-USD,495312033.0,582703099.3,87.5894546508789
2023-01-27,LTC-USD,432915139.0,581877843.5333333,88.84580993652344
2023-01-28,LTC-USD,403642649.0,584073117.4333333,89.60193634033203
2023-01-29,LTC-USD,1052463965.0,608342185.2,95.05005645751952
2023-01-30,LTC-USD,767486345.0,621672196.4,91.26243591308594
2023-01-31,LTC-USD,786998062.0,636426002.3,94.30811309814452
2023-02-01,LTC-USD,1000421802.0,646456787.6,100.4436264038086
2023-02-02,LTC-USD,679499126.0,650362447.6666666,98.690185546875
2023-02-03,LTC-USD,581587515.0,650485590.4666667,99.9709243774414
2023-02-04,LTC-USD,412470764.0,649827429.3666667,98.6144790649414
2023-02-05,LTC-USD,467715468.0,647491604.3333334,96.45875549316406
2023-02-06,LTC-USD,454784285.0,651566439.0666667,96.0624542236328
2023-02-07,LTC-USD,723164903.0,662866595.1,100.92766571044922
2023-02-08,LTC-USD,627006188.0,654449183.9333333,99.2076187133789
2023-02-09,LTC-USD,835624265.0,663599874.3666667,92.09846496582033
2023-02-10,LTC-USD,636744666.0,663103864.1666666,93.52928161621094
2023-02-11,LTC-USD,410760115.0,646154106.0,94.43054962158205
2023-02-12,LTC-USD,367491351.0,634198620.1333333,92.39573669433594
2023-02-13,LTC-USD,681702114.0,615732267.8,91.12174987792967
2023-02-14,LTC-USD,594958420.0,616388811.9333333,95.68757629394533
2023-02-15,LTC-USD,725730052.0,619132487.2333333,102.79530334472656
2023-02-16,LTC-USD,737793870.0,620751165.8,98.95220184326172
2023-02-17,LTC-USD,725287123.0,620083059.2333333,100.30950927734376
2023-02-18,LTC-USD,625887364.0,625316719.2,99.7918472290039
2023-02-19,LTC-USD,550959680.0,623077418.8666667,97.56421661376952
2023-02-20,LTC-USD,805774822.0,627334643.7,95.9408187866211
2023-02-21,LTC-USD,693293752.0,632913647.8,93.70948028564452
2023-02-22,LTC-USD,668342701.0,632713806.8666667,95.21892547607422
2023-02-23,LTC-USD,489893890.0,632084792.3333334,94.6919937133789
2023-02-24,LTC-USD,503847733.0,631318672.0666667,91.55509948730467
2023-02-25,LTC-USD,414154710.0,628613427.9666667,93.2634506225586
2023-02-26,LTC-USD,382931744.0,626947314.8,95.25562286376952
2023-02-27,LTC-USD,432031681.0,627893615.8666667,94.08667755126952
2023-02-28,LTC-USD,409490427.0,606461164.6,93.79277801513672
2023-03-01,LTC-USD,533714000.0,598668753.1,97.73766326904295
2023-03-02,LTC-USD,469936514.0,588100034.8333334,95.25724029541016
2023-03-03,LTC-USD,651979397.0,576485288.0,90.5489730834961
2023-03-04,LTC-USD,353464242.0,565617458.5333333,89.28953552246094
2023-03-05,LTC-USD,334569360.0,557383520.0333333,89.9533462524414
2023-03-06,LTC-USD,497425953.0,560215359.6666666,87.42292022705078
2023-03-07,LTC-USD,562810842.0,563385205.4666667,86.3019027709961
2023-03-08,LTC-USD,501018352.0,564926341.0333333,82.78353118896484
2023-03-09,LTC-USD,688488963.0,563770476.3666667,76.73104858398438
2023-03-10,LTC-USD,1038005217.0,577470444.0,71.76221466064453
2023-03-11,LTC-USD,1077950408.0,585547982.1,69.70695495605469
2023-03-12,LTC-USD,766082096.0,589859229.7666667,76.31184387207031
2023-03-13,LTC-USD,1017027604.0,610068146.0666667,81.7682876586914
2023-03-14,LTC-USD,882163452.0,627223882.7666667,84.35054016113281
2023-03-15,LTC-USD,805712252.0,631357554.0333333,76.42815399169922
2023-03-16,LTC-USD,542002591.0,629592359.7333333,79.05355072021484
2023-03-17,LTC-USD,610202264.0,625741433.4666667,85.5023193359375
2023-03-18,LTC-USD,602010403.0,621215317.9,82.9837417602539
2023-03-19,LTC-USD,444514565.0,611856232.6333333,84.43609619140625
2023-03-20,LTC-USD,578107211.0,610263560.8666667,78.42455291748047
2023-03-21,LTC-USD,567896558.0,610828123.4666667,82.7353515625
2023-03-22,LTC-USD,969686696.0,616291852.6,87.35688781738281
2023-03-23,LTC-USD,1054746379.0,628340273.5,93.70100402832033
2023-03-24,LTC-USD,866952422.0,634960597.5333333,93.70990753173828
2023-03-25,LTC-USD,493921885.0,635094864.0333333,91.58114624023438
2023-03-26,LTC-USD,489851737.0,634628330.8333334,93.5251922607422
2023-03-27,LTC-USD,552145190.0,639228013.5,89.24687194824219
2023-03-28,LTC-USD,556233998.0,645004755.3,89.13937377929688
2023-03-29,LTC-USD,541611636.0,648657420.4666667,91.34173583984376
2023-03-30,LTC-USD,593012954.0,654774838.0333333,89.05989074707031
2023-03-31,LTC-USD,452243261.0,652059146.7333333,89.68412780761719
2023-04-01,LTC-USD,548762293.0,654686672.7,92.87535095214844
2023-04-02,LTC-USD,549452266.0,651269101.6666666,93.01597595214844
2023-04-03,LTC-USD,693703512.0,662610410.6666666,93.03733825683594
2023-04-04,LTC-USD,455068842.0,666627060.0666667,92.60042572021484
2023-04-05,LTC-USD,574810382.0,669206541.0333333,92.6221160888672
2023-04-06,LTC-USD,401237969.0,663820778.6,90.9291534423828
2023-04-07,LTC-USD,409439989.0,660768166.5,90.6383285522461
2023-04-08,LTC-USD,321874464.0,648547683.2,89.9751968383789
2023-04-09,LTC-USD,313065579.0,624383028.6,90.67667388916016
2023-04-10,LTC-USD,525494733.0,605967839.4333333,93.82122802734376
2023-04-11,LTC-USD,640151185.0,601770142.4,94.31179809570312
2023-04-12,LTC-USD,501836456.0,584597104.1333333,92.50415802001952
2023-04-13,LTC-USD,494346656.0,571669877.6,94.2594985961914
2023-04-14,LTC-USD,856817465.0,573373384.7,96.45197296142578
2023-04-15,LTC-USD,403922763.0,568770723.7666667,96.8682098388672
2023-04-16,LTC-USD,768844226.0,574058789.1666666,100.26744842529295
2023-04-17,LTC-USD,687145902.0,576896639.1333333,98.67469787597656
2023-04-18,LTC-USD,711227682.0,585787076.3666667,101.8514175415039
2023-04-19,LTC-USD,935252615.0,597691923.1666666,90.44068145751952
2023-04-20,LTC-USD,747749560.0,603687023.2333333,90.23965454101562
2023-04-21,LTC-USD,662381963.0,593443532.1333333,85.51734161376953
2023-04-22,LTC-USD,380034373.0,570953131.9333333,87.09852600097656
2023-04-23,LTC-USD,382921210.0,554818758.2,86.89732360839844
2023-04-24,LTC-USD,516200917.0,555561392.6,88.40734100341797
2023-04-25,LTC-USD,614049406.0,559701314.9,91.10834503173828
2023-04-26,LTC-USD,798720366.0,567920487.4333333,88.25418853759766
2023-04-27,LTC-USD,574362305.0,568524764.3333334,89.68881225585938
2023-04-28,LTC-USD,438218243.0,565078317.9,89.73138427734375
2023-04-29,LTC-USD,332392500.0,556390969.4333333,91.08751678466795
2023-04-30,LTC-USD,364294782.0,553459353.4666667,88.53362274169922
2023-05-01,LTC-USD,494450271.0,551648952.7333333,86.74261474609375
2023-05-02,LTC-USD,406998356.0,546900489.0666667,88.29579162597656
2023-05-03,LTC-USD,466944292.0,539341848.4,88.89485168457031
2023-05-04,LTC-USD,311253105.0,534547990.5,88.49445343017578
2023-05-05,LTC-USD,402566192.0,528806517.5,88.83866882324219
2023-05-06,LTC-USD,611083498.0,535801368.46666664,83.63143920898438
2023-05-07,LTC-USD,345770753.0,533679060.6,83.5726089477539
2023-05-08,LTC-USD,718898381.0,546913191.1666666,77.8734359741211
2023-05-09,LTC-USD,468132043.0,552082073.3,80.0215835571289
2023-05-10,LTC-USD,582964296.0,553997725.4,81.06997680664062
2023-05-11,LTC-USD,586874786.0,552221845.4333333,81.04087829589844
2023-05-12,LTC-USD,526826920.0,553054860.9,80.50313568115234
2023-05-13,LTC-USD,305028463.0,546744254.4666667,80.30570220947266
2023-05-14,LTC-USD,400491842.0,531533400.3666667,83.44429779052734
2023-05-15,LTC-USD,776623075.0,543956744.1,87.06656646728516
2023-05-16,LTC-USD,809177581.0,545301189.2666667,89.85771942138672
2023-05-17,LTC-USD,1045389525.0,557242643.3666667,93.88973236083984
2023-05-18,LTC-USD,586904480.0,553098536.6333333,90.54290771484376
2023-05-19,LTC-USD,558055386.0,540525295.6666666,91.70238494873048
2023-05-20,LTC-USD,306548115.0,525818580.8333333,92.3713150024414
2023-05-21,LTC-USD,365938794.0,515937141.8666667,92.27886962890624
