date,symbol,volume,volume_ma_30,close
2023-02-10,BNB-USD,492880078.0,630437576.2333333,305.9541320800781
2023-02-11,BNB-USD,348569462.0,620193116.4666667,310.61602783203125
2023-02-12,BNB-USD,520994815.0,618831149.4666667,312.9296569824219
2023-02-13,BNB-USD,1322505522.0,626669370.5,294.475341796875
2023-02-14,BNB-USD,662196432.0,629979588.8333334,296.120361328125
2023-02-15,BNB-USD,667519216.0,632159352.2,317.1692199707031
2023-02-16,BNB-USD,1036335164.0,649045447.5,304.7637023925781
2023-02-17,BNB-USD,701575686.0,644289032.9333333,313.37799072265625
2023-02-18,BNB-USD,467884011.0,645505762.3,316.6827087402344
2023-02-19,BNB-USD,522437732.0,640592486.2333333,311.93585205078125
2023-02-20,BNB-USD,676396150.0,637971392.4333333,315.37744140625
2023-02-21,BNB-USD,579359973.0,638224349.0666667,311.4720153808594
2023-02-22,BNB-USD,549179249.0,639174369.4666667,312.7811279296875
2023-02-23,BNB-USD,472852406.0,625351824.9666667,308.533935546875
2023-02-24,BNB-USD,479926281.0,619092475.2666667,302.0537109375
2023-02-25,BNB-USD,310503640.0,611410783.6666666,302.3846130371094
2023-02-26,BNB-USD,312320211.0,605658192.8,308.9970703125
2023-02-27,BNB-USD,404806423.0,604661212.8333334,304.8558044433594
2023-02-28,BNB-USD,337673265.0,593762165.2333333,301.4748229980469
2023-03-01,BNB-USD,377974810.0,585330039.1,302.907470703125
2023-03-02,BNB-USD,370516889.0,581431529.2666667,299.9461669921875
2023-03-03,BNB-USD,450262903.0,575885662.9333333,290.2828369140625
2023-03-04,BNB-USD,289197235.0,555223003.1666666,289.5038757324219
2023-03-05,BNB-USD,287599378.0,536089697.4,288.69970703125
2023-03-06,BNB-USD,374160712.0,533863855.7,288.0549621582031
2023-03-07,BNB-USD,373176525.0,524204097.7,289.3436889648437
2023-03-08,BNB-USD,436665040.0,521363112.23333335,286.86700439453125
2023-03-09,BNB-USD,505668979.0,520825271.1333333,277.2961120605469
2023-03-10,BNB-USD,558776711.0,522280231.43333334,277.4195861816406
2023-03-11,BNB-USD,523623578.0,513784615.8666667,277.96142578125
2023-03-12,BNB-USD,483074620.0,513457767.26666665,289.67578125
2023-03-13,BNB-USD,1122664621.0,539260939.2333333,308.9122009277344
2023-03-14,BNB-USD,866173920.0,550766909.4,309.37078857421875
2023-03-15,BNB-USD,596861029.0,526578759.6333333,307.1249389648437
2023-03-16,BNB-USD,1337194824.0,549078706.0333333,329.8608703613281
2023-03-17,BNB-USD,934568148.0,557980337.1,339.0811462402344
2023-03-18,BNB-USD,828471428.0,551051545.9,331.5242919921875
2023-03-19,BNB-USD,705888292.0,551195299.4333333,336.9782409667969
2023-03-20,BNB-USD,682276624.0,558341719.8666667,332.9230041503906
2023-03-21,BNB-USD,638610697.0,562214152.0333333,335.3092346191406
2023-03-22,BNB-USD,1280612242.0,582354688.4333333,321.8877258300781
2023-03-23,BNB-USD,547390925.0,581289053.5,329.8370056152344
2023-03-24,BNB-USD,468651735.0,578604803.0333333,322.3593444824219
2023-03-25,BNB-USD,439062620.0,577478476.8333334,322.6730651855469
2023-03-26,BNB-USD,363216136.0,573588138.6666666,328.88800048828125
2023-03-27,BNB-USD,656817420.0,585131931.3333334,310.9491271972656
2023-03-28,BNB-USD,478328374.0,590665536.7666667,313.2606201171875
2023-03-29,BNB-USD,482942200.0,593270062.6666666,313.8417663574219
2023-03-30,BNB-USD,594180917.0,601820317.7333333,316.56756591796875
2023-03-31,BNB-USD,419430009.0,603202157.7,317.0400085449219
2023-04-01,BNB-USD,463135728.0,606289452.3333334,315.2173156738281
2023-04-02,BNB-USD,442429679.0,606028344.8666667,313.9286193847656
