model,MAE,RMSE,MAPE
arima,24855.907464557717,34353.76520624546,24.456137555979343
prophet,13239.098052422443,19791.103119992484,13.256373796365287
xgb_or_rf,82174.63421979714,86317.33526504817,75.5174539318188
lstm,19090.036370730184,26705.289047595186,18.8229095809493
