date,actual_close,predicted_close,model
2025-05-13,104169.8125,103016.89727640152,lstm
2025-05-14,103539.4140625,103221.24598010532,lstm
2025-05-15,103744.640625,103426.00003859858,lstm
2025-05-16,103489.2890625,103631.1602559603,lstm
2025-05-17,103191.0859375,103836.72743786452,lstm
2025-05-18,106446.0078125,104042.70239158343,lstm
2025-05-19,105606.1796875,104249.08592599056,lstm
2025-05-20,106791.0859375,104455.87885156396,lstm
2025-05-21,109678.078125,104663.08198038938,lstm
2025-05-22,111673.28125,104870.69612616347,lstm
2025-05-23,107287.796875,105078.72210419693,lstm
2025-05-24,107791.15625,105287.16073141778,lstm
2025-05-25,109035.390625,105496.01282637451,lstm
2025-05-26,109440.3671875,105705.27920923934,lstm
2025-05-27,108994.640625,105914.96070181137,lstm
2025-05-28,107802.328125,106125.05812751992,lstm
2025-05-29,105641.7578125,106335.57231142766,lstm
2025-05-30,103998.5703125,106546.5040802339,lstm
2025-05-31,104638.09375,106757.85426227783,lstm
2025-06-01,105652.1015625,106969.62368754175,lstm
2025-06-02,105881.53125,107181.81318765436,lstm
2025-06-03,105432.46875,107394.42359589404,lstm
2025-06-04,104731.984375,107607.45574719204,lstm
2025-06-05,101575.953125,107820.91047813588,lstm
2025-06-06,104390.34375,108034.78862697251,lstm
2025-06-07,105615.625,108249.09103361171,lstm
2025-06-08,105793.6484375,108463.81853962931,lstm
2025-06-09,110294.1015625,108678.97198827054,lstm
2025-06-10,110257.234375,108894.55222445332,lstm
2025-06-11,108686.625,109110.5600947716,lstm
2025-06-12,105929.0546875,109326.99644749866,lstm
2025-06-13,106090.96875,109543.86213259044,lstm
2025-06-14,105472.40625,109761.1580016889,lstm
2025-06-15,105552.0234375,109978.88490812536,lstm
2025-06-16,106796.7578125,110197.04370692383,lstm
2025-06-17,104601.1171875,110415.63525480438,lstm
2025-06-18,104883.328125,110634.66041018652,lstm
2025-06-19,104684.2890625,110854.12003319256,lstm
2025-06-20,103309.6015625,111074.01498565098,lstm
2025-06-21,102257.40625,111294.34613109981,lstm
2025-06-22,100987.140625,111515.11433479004,lstm
2025-06-23,105577.7734375,111736.320463689,lstm
2025-06-24,106045.6328125,111957.96538648379,lstm
2025-06-25,107361.2578125,112180.04997358467,lstm
2025-06-26,106960.0,112402.57509712846,lstm
2025-06-27,107088.4296875,112625.54163098201,lstm
2025-06-28,107327.703125,112848.95045074561,lstm
2025-06-29,108385.5703125,113072.80243375643,lstm
2025-06-30,107135.3359375,113297.09845909194,lstm
2025-07-01,105698.28125,113521.83940757341,lstm
2025-07-02,108859.3203125,113747.02616176935,lstm
2025-07-03,109647.9765625,113972.65960599892,lstm
2025-07-04,108034.3359375,114198.74062633554,lstm
2025-07-05,108231.1796875,114425.27011061019,lstm
2025-07-06,109232.0703125,114652.24894841504,lstm
2025-07-07,108299.8515625,114879.6780311069,lstm
2025-07-08,108950.2734375,115107.5582518107,lstm
2025-07-09,111326.5546875,115335.890505423,lstm
2025-07-10,115987.203125,115564.67568861552,lstm
2025-07-11,117516.9921875,115793.91469983867,lstm
2025-07-12,117435.2265625,116023.60843932505,lstm
2025-07-13,119116.1171875,116253.757809093,lstm
2025-07-14,119849.703125,116484.36371295016,lstm
2025-07-15,117777.1875,116715.42705649696,lstm
2025-07-16,118738.5078125,116946.94874713027,lstm
2025-07-17,119289.84375,117178.92969404688,lstm
2025-07-18,118003.2265625,117411.3708082471,lstm
2025-07-19,117939.9765625,117644.27300253836,lstm
2025-07-20,117300.7890625,117877.63719153876,lstm
2025-07-21,117439.5390625,118111.46429168066,lstm
2025-07-22,119995.4140625,118345.75522121433,lstm
2025-07-23,118754.9609375,118580.51090021149,lstm
2025-07-24,118368.0,118815.73225056897,lstm
2025-07-25,117635.8828125,119051.42019601229,lstm
2025-07-26,117947.3671875,119287.57566209935,lstm
2025-07-27,119448.4921875,119524.199576224,lstm
2025-07-28,117924.4765625,119761.2928676197,lstm
2025-07-29,117922.1484375,119998.8564673632,lstm
2025-07-30,117831.1875,120236.89130837818,lstm
2025-07-31,115758.203125,120475.39832543887,lstm
2025-08-01,113320.0859375,120714.37845517378,lstm
2025-08-02,112526.9140625,120953.83263606936,lstm
