date,symbol,open,high,low,close,volume,name,lower_bound,upper_bound
2024-03-02,ETC-USD,30.364276885986328,34.633785247802734,30.30118179321289,34.199466705322266,1027526616.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-03,ETC-USD,34.210819244384766,35.75525665283203,32.3943977355957,33.535037994384766,869132563.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-04,ETC-USD,33.554107666015625,36.61952972412109,33.16625213623047,36.00000762939453,790707342.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-05,ETC-USD,36.00474166870117,39.53935623168945,30.1082820892334,34.26276016235352,1823274431.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-06,ETC-USD,34.26030731201172,38.406700134277344,33.01377868652344,37.21897506713867,934977808.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-07,ETC-USD,37.220970153808594,38.41633987426758,36.10017776489258,37.94420623779297,536035057.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-08,ETC-USD,37.94385528564453,39.45657730102539,37.07170867919922,38.12548828125,652439233.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-09,ETC-USD,38.12548828125,39.61852645874024,37.113399505615234,37.3204231262207,480625017.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-10,ETC-USD,37.32046890258789,37.72955322265625,35.45406723022461,36.16098403930664,421535580.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-11,ETC-USD,36.16092300415039,39.32651901245117,34.56721878051758,37.99048614501953,747592363.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-12,ETC-USD,37.99048614501953,38.17379379272461,35.232425689697266,36.86835479736328,418477352.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-13,ETC-USD,36.86835479736328,37.61339569091797,35.93818283081055,36.565521240234375,356708087.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-14,ETC-USD,36.565521240234375,36.72123336791992,33.7365608215332,35.10074615478516,465605554.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-15,ETC-USD,35.10054397583008,35.537635803222656,31.18707847595215,33.24047088623047,583927649.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-17,ETC-USD,30.68233108520508,32.3350830078125,29.591840744018555,31.94625663757324,358881401.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-18,ETC-USD,31.94625663757324,32.05002975463867,30.32136344909668,31.391984939575195,291098796.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-24,ETC-USD,30.264766693115234,31.690149307250977,30.2579345703125,31.57319641113281,259658661.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-25,ETC-USD,31.57319641113281,32.6905632019043,31.028284072875977,32.49582290649414,279141099.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-26,ETC-USD,32.49582290649414,33.19622039794922,31.781164169311523,32.1370735168457,285312552.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-27,ETC-USD,32.1370735168457,32.53263092041016,31.00205421447754,31.803863525390625,280910664.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-28,ETC-USD,31.803863525390625,32.82379150390625,31.37923812866211,32.5375862121582,245938566.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-29,ETC-USD,32.5375862121582,34.9022102355957,31.82322883605957,34.23624801635742,442445757.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-30,ETC-USD,34.23624801635742,34.53022384643555,32.850215911865234,32.931007385253906,229532049.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-03-31,ETC-USD,32.931007385253906,34.4605712890625,32.85426330566406,34.31129837036133,206375125.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-04-01,ETC-USD,34.31129837036133,34.75402069091797,31.86734771728516,32.73402404785156,353927804.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-04-04,ETC-USD,30.636850357055664,33.17247772216797,30.08884620666504,32.89092254638672,368170681.0,Ethereum Classic,9.594653606414795,31.14934492111206
2024-04-05,ETC-USD,32.88594055175781,34.039794921875,31.72947120666504,33.15645217895508,491697243.0,Ethereum Classic,9.594653606414795,31.14934492111206
