Date,Day_Number,Forecast_Close,Symbol
2026-01-14,1,15.53518361517707,AVAX-USD
2026-01-15,2,15.393264135385508,AVAX-USD
2026-01-16,3,15.451256263079276,AVAX-USD
2026-01-17,4,15.476754192797618,AVAX-USD
2026-01-18,5,15.475315044235623,AVAX-USD
2026-01-19,6,15.480111586143497,AVAX-USD
2026-01-20,7,15.201650795534874,AVAX-USD
2026-01-21,8,15.275553166575842,AVAX-USD
2026-01-22,9,15.133633686783996,AVAX-USD
2026-01-23,10,15.191625814478485,AVAX-USD
2026-01-24,11,15.217123744196607,AVAX-USD
2026-01-25,12,15.215684595634789,AVAX-USD
2026-01-26,13,15.22048113754228,AVAX-USD
2026-01-27,14,14.942020346933536,AVAX-USD
2026-01-28,15,15.015922717974567,AVAX-USD
2026-01-29,16,14.874003238183237,AVAX-USD
2026-01-30,17,14.931995365877691,AVAX-USD
2026-01-31,18,14.957493295595084,AVAX-USD
2026-02-01,19,14.956054147033504,AVAX-USD
2026-02-02,20,14.960850688941239,AVAX-USD
2026-02-03,21,14.682389898332332,AVAX-USD
2026-02-04,22,14.756292269373345,AVAX-USD
2026-02-05,23,14.614372789581765,AVAX-USD
2026-02-06,24,14.672364917276411,AVAX-USD
2026-02-07,25,14.6978628469946,AVAX-USD
2026-02-08,26,14.696423698431685,AVAX-USD
2026-02-09,27,14.701220240340307,AVAX-USD
2026-02-10,28,14.422759449731121,AVAX-USD
2026-02-11,29,14.496661820772275,AVAX-USD
2026-02-12,30,14.35474234098066,AVAX-USD
2026-02-13,31,14.41273446867545,AVAX-USD
2026-02-14,32,14.438232398393076,AVAX-USD
2026-02-15,33,14.436793249830389,AVAX-USD
2026-02-16,34,14.441589791738801,AVAX-USD
2026-02-17,35,14.163129001129844,AVAX-USD
2026-02-18,36,14.237031372170886,AVAX-USD
2026-02-19,37,14.095111892379549,AVAX-USD
2026-02-20,38,14.153104020073677,AVAX-USD
2026-02-21,39,14.178601949791561,AVAX-USD
2026-02-22,40,14.17716280122955,AVAX-USD
2026-02-23,41,14.181959343137589,AVAX-USD
2026-02-24,42,13.903498552528958,AVAX-USD
2026-02-25,43,13.977400923569768,AVAX-USD
2026-02-26,44,13.835481443778438,AVAX-USD
