Date,Day_Number,Forecast_Close,Symbol
2026-01-14,1,3319.0955093390967,ETH-USD
2026-01-15,2,3317.6102908776647,ETH-USD
2026-01-16,3,3314.805736819262,ETH-USD
2026-01-17,4,3314.2824254002567,ETH-USD
2026-01-18,5,3311.937824488622,ETH-USD
2026-01-19,6,3312.0407810258616,ETH-USD
2026-01-20,7,3312.0887813729796,ETH-USD
2026-01-21,8,3312.1448930165852,ETH-USD
2026-01-22,9,3312.1571205340133,ETH-USD
2026-01-23,10,3312.1801081902836,ETH-USD
2026-01-24,11,3312.177830369668,ETH-USD
2026-01-25,12,3312.1768379694568,ETH-USD
2026-01-26,13,3312.17597783727,ETH-USD
2026-01-27,14,3312.175805887946,ETH-USD
2026-01-28,15,3312.175594162895,ETH-USD
2026-01-29,16,3312.175635414477,ETH-USD
2026-01-30,17,3312.1756520180606,ETH-USD
2026-01-31,18,3312.175663507486,ETH-USD
2026-02-01,19,3312.1756653828866,ETH-USD
2026-02-02,20,3312.1756671417365,ETH-USD
2026-02-03,21,3312.1756664818995,ETH-USD
2026-02-04,22,3312.1756662391376,ETH-USD
2026-02-05,23,3312.175666100303,ETH-USD
2026-02-06,24,3312.1756660849364,ETH-USD
2026-02-07,25,3312.17566607303,ETH-USD
2026-02-08,26,3312.175666082674,ETH-USD
2026-02-09,27,3312.1756660858755,ETH-USD
2026-02-10,28,3312.175666087405,ETH-USD
2026-02-11,29,3312.17566608746,ETH-USD
2026-02-12,30,3312.1756660874994,ETH-USD
2026-02-13,31,3312.1756660873684,ETH-USD
2026-02-14,32,3312.17566608733,ETH-USD
2026-02-15,33,3312.1756660873148,ETH-USD
2026-02-16,34,3312.175666087316,ETH-USD
2026-02-17,35,3312.1756660873166,ETH-USD
2026-02-18,36,3312.1756660873184,ETH-USD
2026-02-19,37,3312.175666087319,ETH-USD
2026-02-20,38,3312.175666087319,ETH-USD
2026-02-21,39,3312.175666087319,ETH-USD
2026-02-22,40,3312.175666087319,ETH-USD
2026-02-23,41,3312.175666087319,ETH-USD
2026-02-24,42,3312.175666087319,ETH-USD
2026-02-25,43,3312.175666087319,ETH-USD
2026-02-26,44,3312.175666087319,ETH-USD
2026-02-27,45,3312.175666087319,ETH-USD
