Date,Symbol,Open,High,Low,Close,Volume,Name
2022-12-11,AAVE-USD,61.35125350952149,61.52033996582031,59.633907318115234,59.75642776489258,29934277.0,Aave
2022-12-12,AAVE-USD,59.75277328491211,60.73025131225586,58.64649200439453,60.10396957397461,43484419.0,Aave
2022-12-13,AAVE-USD,60.099491119384766,63.45780944824219,58.41178894042969,61.87289810180664,67856553.0,Aave
2022-12-14,AAVE-USD,61.88460540771485,63.35010528564453,61.79350280761719,62.56288909912109,50806113.0,Aave
2022-12-15,AAVE-USD,62.56101608276367,62.88935470581055,60.66368865966797,60.86708068847656,45375237.0,Aave
2022-12-16,AAVE-USD,60.87114715576172,61.11076354980469,54.43198013305664,54.8251953125,57694805.0,Aave
2022-12-17,AAVE-USD,54.81639862060547,55.638092041015625,53.33529281616211,55.57771301269531,43098792.0,Aave
2022-12-18,AAVE-USD,55.57500076293945,56.28681182861328,55.01985931396485,55.83451461791992,26536270.0,Aave
2022-12-19,AAVE-USD,55.83781814575195,56.44330978393555,53.29658889770508,53.72983932495117,38516334.0,Aave
2022-12-20,AAVE-USD,53.729610443115234,56.16286087036133,53.40610504150391,55.77022171020508,45072863.0,Aave
2022-12-21,AAVE-USD,55.76984024047852,56.34359359741211,54.81562042236328,55.994606018066406,36818955.0,Aave
2022-12-22,AAVE-USD,55.98803329467773,56.06613159179688,53.77875518798828,55.60498809814453,34418452.0,Aave
2022-12-23,AAVE-USD,55.60795211791992,56.04084014892578,54.35972213745117,54.53443145751953,32140129.0,Aave
2022-12-24,AAVE-USD,54.53096771240234,54.69913482666016,54.2651596069336,54.47079849243164,23230269.0,Aave
2022-12-25,AAVE-USD,54.46983337402344,55.369136810302734,53.97994995117188,54.45232391357422,36091150.0,Aave
2022-12-26,AAVE-USD,54.459754943847656,55.98441696166992,54.25110626220703,55.93756866455078,34660069.0,Aave
2022-12-27,AAVE-USD,55.93852996826172,58.08663558959961,55.52445983886719,57.36973571777344,49640032.0,Aave
2022-12-28,AAVE-USD,57.37222671508789,57.65577697753906,53.45313262939453,53.747257232666016,47399222.0,Aave
2022-12-29,AAVE-USD,53.744415283203125,54.86674118041992,53.61741256713867,54.540714263916016,40802575.0,Aave
2022-12-30,AAVE-USD,54.53723907470703,54.61568832397461,51.72591400146485,52.51644134521485,55218888.0,Aave
2022-12-31,AAVE-USD,52.525970458984375,53.26445007324219,51.84463119506836,51.97913360595703,40075995.0,Aave
2023-01-01,AAVE-USD,51.97866439819336,52.31705093383789,51.28887176513672,52.04583358764648,27482203.0,Aave
2023-01-02,AAVE-USD,52.05474472045898,53.87734603881836,51.51974487304688,53.08315658569336,40664866.0,Aave
2023-01-03,AAVE-USD,53.07568740844727,53.37620544433594,52.19873428344727,53.04004287719727,32961816.0,Aave
2023-01-04,AAVE-USD,53.03782272338867,57.48869705200195,52.679832458496094,56.78749465942383,78095690.0,Aave
