model,MAE,RMSE,MAPE
arima,8.423178702065657,10.545057065031282,47.62119803206038
prophet,7.523203753101093,9.465824710378598,42.679898413440824
xgb_or_rf,2317.4478775673997,4850.589330381913,14846.851612516375
lstm,9.822034319799881,13.804613544170005,55.84493953284277
