date,symbol,returns,returns_squared
2022-12-11,ETC-USD,,
2022-12-12,ETC-USD,-0.01952656551962262,0.0003812867609921149
2022-12-13,ETC-USD,0.03818825014103511,0.001458342448834268
2022-12-14,ETC-USD,-0.024161857728067337,0.0005837953688713673
2022-12-15,ETC-USD,-0.03436482598910351,0.001180941265261364
2022-12-16,ETC-USD,-0.12209162228254589,0.014906364231583855
2022-12-17,ETC-USD,0.016665018036335244,0.000277722826151379
2022-12-18,ETC-USD,-0.013907374087478441,0.0001934150540090668
2022-12-19,ETC-USD,-0.0503884747435871,0.0025389983869851147
2022-12-20,ETC-USD,0.05188837019268688,0.0026924029612533165
2022-12-21,ETC-USD,0.04211147726598008,0.001773376517523157
2022-12-22,ETC-USD,-0.007907032466754504,6.252116243030982e-05
2022-12-23,ETC-USD,-0.005822311241030498,3.389930818743009e-05
2022-12-24,ETC-USD,0.003924943583662577,1.540518213493403e-05
2022-12-25,ETC-USD,-0.016356458046188127,0.00026753371981671234
2022-12-26,ETC-USD,0.00424618094079765,1.803005258199322e-05
2022-12-27,ETC-USD,-0.02534542937916273,0.0006423907904141254
2022-12-28,ETC-USD,-0.046101650398290395,0.002125362169446189
2022-12-29,ETC-USD,0.0409951347289097,0.001680601071441458
2022-12-30,ETC-USD,-0.01232546381256483,0.00015191705819484516
2022-12-31,ETC-USD,0.009889568115576397,9.780355751262528e-05
2023-01-01,ETC-USD,0.0049434237358108035,2.4437438231777642e-05
2023-01-02,ETC-USD,0.021612916450348907,0.00046711815748976237
2023-01-03,ETC-USD,-0.013599928123315341,0.00018495804495934355
2023-01-04,ETC-USD,0.20719556337595058,0.04293000148267755
2023-01-05,ETC-USD,-0.050623219647585316,0.002562710367487668
2023-01-06,ETC-USD,0.12214984105590099,0.014920583669981875
2023-01-07,ETC-USD,-0.019883416365192086,0.0003953502463515885
2023-01-08,ETC-USD,0.014308122750075203,0.00020472237663121958
2023-01-09,ETC-USD,-0.008355099863224691,6.980769372445725e-05
2023-01-10,ETC-USD,0.0047724756475582275,2.2776523806536323e-05
2023-01-11,ETC-USD,0.013503899719821577,0.00018235530764299727
2023-01-12,ETC-USD,0.01935201069791992,0.000374500318052407
2023-01-13,ETC-USD,0.033113460193509026,0.0010965012459871067
2023-01-14,ETC-USD,0.04267744552268504,0.0018213643563417495
2023-01-15,ETC-USD,-0.003302374157561294,1.0905675076528667e-05
2023-01-16,ETC-USD,-0.026533619927422314,0.0007040329864529025
2023-01-17,ETC-USD,-0.00054570742439497,2.9779659303979187e-07
2023-01-18,ETC-USD,-0.06532354288795905,0.004267165255435025
2023-01-19,ETC-USD,0.015519927034927772,0.00024086813516948193
2023-01-20,ETC-USD,0.08507978373645986,0.00723856960064278
2023-01-21,ETC-USD,-0.03069258612746195,0.0009420348431916698
2023-01-22,ETC-USD,0.03340244084671107,0.001115723054518032
2023-01-23,ETC-USD,0.010021334680341498,0.00010042714877541524
2023-01-24,ETC-USD,-0.0686223975840281,0.004709033450180426
2023-01-25,ETC-USD,0.03117494196831383,0.0009718770067277349
2023-01-26,ETC-USD,0.00565781707260804,3.201089402709501e-05
2023-01-27,ETC-USD,0.0004380922941031873,1.9192485815259355e-07
2023-01-28,ETC-USD,-0.012488962541781778,0.00015597418537002838
2023-01-29,ETC-USD,0.048278087147832105,0.0023307736986536713
2023-01-30,ETC-USD,-0.062103055975393784,0.0038567895614828934
2023-01-31,ETC-USD,0.01623319422747116,0.000263516594826803
2023-02-01,ETC-USD,0.03043046828670204,0.0009260134001479785
2023-02-02,ETC-USD,4.775297115133803e-05,2.2803462537805222e-09
2023-02-03,ETC-USD,0.03664925216022863,0.0013431676839040228
2023-02-04,ETC-USD,0.026949296501731723,0.0007262645819382497
2023-02-05,ETC-USD,-0.03917919548220139,0.0015350093586325498
2023-02-06,ETC-USD,-0.032227519046978625,0.00103861298392337
2023-02-07,ETC-USD,0.04777501494710812,0.0022824520531964042
2023-02-08,ETC-USD,-0.025738862414379837,0.0006624890383863751
2023-02-09,ETC-USD,-0.07585434826982818,0.005753882151440385
2023-02-10,ETC-USD,0.0066357550817068844,4.403324550439874e-05
2023-02-11,ETC-USD,0.02194328932097478,0.0004815079462240058
2023-02-12,ETC-USD,-0.020734178496015332,0.0004299061579046246
2023-02-13,ETC-USD,-0.01743562803111287,0.0003040011248393289
2023-02-14,ETC-USD,0.026301267911528647,0.0006917566937540065
2023-02-15,ETC-USD,0.05767874751822877,0.003326837915271581
2023-02-16,ETC-USD,-0.047626841591575375,0.002268316039989014
2023-02-17,ETC-USD,0.04942993125481521,0.002443318103855757
2023-02-18,ETC-USD,0.009878877802199426,9.759222663078857e-05
2023-02-19,ETC-USD,-0.007429211703864458,5.519318654083664e-05
2023-02-20,ETC-USD,0.030531105082223453,0.0009321483775417708
2023-02-21,ETC-USD,-0.016053705072846314,0.00025772144656593146
2023-02-22,ETC-USD,-0.014181813314549374,0.00020112382888872992
2023-02-23,ETC-USD,-0.01573637164788544,0.00024763339264037267
2023-02-24,ETC-USD,-0.0459547062284863,0.002111835024546477
2023-02-25,ETC-USD,-0.005420710051204147,2.938409745922567e-05
2023-02-26,ETC-USD,0.020166958560203785,0.00040670621756897673
2023-02-27,ETC-USD,-0.004631590310266165,2.145162880215143e-05
2023-02-28,ETC-USD,-0.027182340216586498,0.0007388796196502557
2023-03-01,ETC-USD,0.026048911072900305,0.0006785457680838681
2023-03-02,ETC-USD,-0.008973388393375359,8.05216992583636e-05
2023-03-03,ETC-USD,-0.034080428432538556,0.0011614756021453825
