date,symbol,returns,returns_squared
2022-12-11,ICP-USD,,
2022-12-12,ICP-USD,-0.011539616276865838,0.000133162743817307
2022-12-13,ICP-USD,-0.002303510276320697,5.306159593115055e-06
2022-12-14,ICP-USD,-0.040160367268464836,0.0016128550991379817
2022-12-15,ICP-USD,-0.01762815818070229,0.00031075196084386113
2022-12-16,ICP-USD,-0.09545673578279579,0.009111988406306486
2022-12-17,ICP-USD,0.0390412949324177,0.0015242227100000243
2022-12-18,ICP-USD,-0.00135815163685149,1.8445758686823818e-06
2022-12-19,ICP-USD,-0.053397987574619,0.002851345077019165
2022-12-20,ICP-USD,0.06767886922065491,0.004580429338986511
2022-12-21,ICP-USD,-0.002789378133096543,7.780630369397155e-06
2022-12-22,ICP-USD,0.0069777988001136215,4.86896760948671e-05
2022-12-23,ICP-USD,-0.020471640271447433,0.00041908805540354836
2022-12-24,ICP-USD,0.023877047198718637,0.0005701133829298375
2022-12-25,ICP-USD,0.00438033487755507,1.9187333639525388e-05
2022-12-26,ICP-USD,0.023653128050369565,0.0005594704665671796
2022-12-27,ICP-USD,-0.0055614127406867775,3.092931167227322e-05
2022-12-28,ICP-USD,0.03458611664161082,0.001196199464347109
2022-12-29,ICP-USD,0.013537845275277238,0.00018327325469734624
2022-12-30,ICP-USD,0.02482664918985944,0.0006163625099963484
2022-12-31,ICP-USD,-0.04615396366055258,0.0021301883615796077
2023-01-01,ICP-USD,0.02222704021155364,0.0004940413165660225
2023-01-02,ICP-USD,-0.004635593146913419,2.1488723823710657e-05
2023-01-03,ICP-USD,-0.021215594005629668,0.00045010142901170946
2023-01-04,ICP-USD,0.009413862823194119,8.862081325391635e-05
2023-01-05,ICP-USD,-0.03433646887615405,0.0011789930948830957
2023-01-06,ICP-USD,0.023828028359820452,0.0005677749355164078
2023-01-07,ICP-USD,0.028330106671788702,0.0008025949440349267
2023-01-08,ICP-USD,0.022635497397252013,0.0005123657424210027
2023-01-09,ICP-USD,0.03377358275925402,0.0011406548923961802
2023-01-10,ICP-USD,0.01655518263207134,0.0002740740719812366
2023-01-11,ICP-USD,0.004926077902636994,2.4266243502848484e-05
2023-01-12,ICP-USD,0.039344049665627656,0.0015479542440913756
2023-01-13,ICP-USD,0.021070737293902075,0.0004439759701086358
2023-01-14,ICP-USD,0.09787449038376095,0.009579415867880914
2023-01-15,ICP-USD,0.018819552190452393,0.00035417554464916147
2023-01-16,ICP-USD,-0.024041190981935134,0.0005779788638298792
2023-01-17,ICP-USD,0.015796759468786004,0.00024953760971468025
2023-01-18,ICP-USD,-0.029621276499557925,0.0008774200214632625
2023-01-19,ICP-USD,0.03802832478566498,0.0014461534860040215
2023-01-20,ICP-USD,0.07600730299481584,0.005777110108545741
2023-01-21,ICP-USD,-0.019913670914809556,0.0003965542893033321
2023-01-22,ICP-USD,0.022711828996266892,0.0005158271763556696
2023-01-23,ICP-USD,0.047166192157172215,0.0022246496826072936
2023-01-24,ICP-USD,-0.05034424107433888,0.00253454260935115
2023-01-25,ICP-USD,0.04691426251403197,0.002200948027235505
2023-01-26,ICP-USD,0.011403662927190306,0.00013004352815697458
2023-01-27,ICP-USD,0.03621553885734996,0.0013115652547282248
2023-01-28,ICP-USD,0.0030550108402847,9.333091234257027e-06
2023-01-29,ICP-USD,0.03063122555068598,0.0009382719787369977
2023-01-30,ICP-USD,-0.07639660704794526,0.00583644156843816
2023-01-31,ICP-USD,0.017651915376706517,0.000311590116466408
2023-02-01,ICP-USD,0.030026443258826196,0.0009015872947755091
2023-02-02,ICP-USD,-0.04797985384828263,0.0023020663753025613
2023-02-03,ICP-USD,0.018297217350227157,0.0003347881627614537
2023-02-04,ICP-USD,-0.013020272020777934,0.00016952748349505272
2023-02-05,ICP-USD,-0.02848524909380301,0.0008114094159360053
2023-02-06,ICP-USD,-0.0325727999181471,0.0010609872945076437
2023-02-07,ICP-USD,0.0712365979727132,0.005074652890725967
2023-02-08,ICP-USD,-0.019768253823996607,0.00039078385924995647
2023-02-09,ICP-USD,-0.11294048042184635,0.012755552117917457
2023-02-10,ICP-USD,0.0014010490103035789,1.9629383292726378e-06
2023-02-11,ICP-USD,0.03734063495129614,0.0013943230185659587
2023-02-12,ICP-USD,0.04512940617397532,0.0020366633016156415
2023-02-13,ICP-USD,-0.02873806573868032,0.0008258764224007115
2023-02-14,ICP-USD,0.03400108871512986,0.001156074033814131
2023-02-15,ICP-USD,0.09134532245970717,0.008343967935267883
2023-02-16,ICP-USD,-0.015627340084361507,0.0002442137581122919
2023-02-17,ICP-USD,0.23134055707604917,0.053518453348256764
2023-02-18,ICP-USD,-0.03364429839247107,0.0011319388143216317
2023-02-19,ICP-USD,0.036068693783229966,0.001300950671228412
2023-02-20,ICP-USD,0.002020763629430933,4.083485646030877e-06
2023-02-21,ICP-USD,-0.061548555023873686,0.0037882246255268068
2023-02-22,ICP-USD,-0.023009707252693357,0.0005294466278546493
2023-02-23,ICP-USD,-0.007871772024039436,6.196479479844992e-05
2023-02-24,ICP-USD,-0.058273057943211914,0.003395749282052933
2023-02-25,ICP-USD,-0.027349128267673994,0.0007479748170016847
2023-02-26,ICP-USD,0.02029460011533679,0.00041187079384142814
2023-02-27,ICP-USD,-0.01757139038777511,0.0003087537601595955
2023-02-28,ICP-USD,-0.055324629445973605,0.00306081462333429
2023-03-01,ICP-USD,0.06777113728319861,0.004592927048658153
2023-03-02,ICP-USD,-0.042097968021712284,0.0017722389115571102
2023-03-03,ICP-USD,-0.05726184593294115,0.0032789189996478884
