date,symbol,returns,returns_squared
2022-12-11,XTZ-USD,,
2022-12-12,XTZ-USD,-0.029577905882167133,0.000874852516374337
2022-12-13,XTZ-USD,0.010042488286050144,0.00010085157097545436
2022-12-14,XTZ-USD,-0.018986168261517666,0.00036047458525466077
2022-12-15,XTZ-USD,0.004170472675078196,1.7392842333573886e-05
2022-12-16,XTZ-USD,-0.12258498842523768,0.015027079387215658
2022-12-17,XTZ-USD,0.007126329507648466,5.0784572251581225e-05
2022-12-18,XTZ-USD,-0.007826792944357619,6.125868779384621e-05
2022-12-19,XTZ-USD,-0.07212192786135052,0.005201572478437848
2022-12-20,XTZ-USD,0.038037875146432754,0.0014468799456556066
2022-12-21,XTZ-USD,-0.0011204091924085224,1.2553167584335175e-06
2022-12-22,XTZ-USD,-0.001543603412775374,2.3827114959317815e-06
2022-12-23,XTZ-USD,-0.0024122063195286536,5.818739327973973e-06
2022-12-24,XTZ-USD,-0.0027855157339983228,7.759097904352214e-06
2022-12-25,XTZ-USD,-0.018115101924719323,0.00032815691774296975
2022-12-26,XTZ-USD,0.012431442411322102,0.00015454076042601788
2022-12-27,XTZ-USD,-0.029613156029659637,0.0008769390100369669
2022-12-28,XTZ-USD,-0.04515171745553692,0.0020386775891846377
2022-12-29,XTZ-USD,-0.016525893174361705,0.0002731051452104148
2022-12-30,XTZ-USD,-0.0031469070059183535,9.903023703898016e-06
2022-12-31,XTZ-USD,-0.007543601473956718,5.690592319788197e-05
2023-01-01,XTZ-USD,0.0022984937948975492,5.283073725182537e-06
2023-01-02,XTZ-USD,0.028837743438887564,0.0008316154466471027
2023-01-03,XTZ-USD,0.018855191564798313,0.00035551824894524146
2023-01-04,XTZ-USD,0.017573605501178813,0.00030883161031106224
2023-01-05,XTZ-USD,-0.006700208898739679,4.489279928675038e-05
2023-01-06,XTZ-USD,0.012403945973235686,0.0001538578757069498
2023-01-07,XTZ-USD,0.025677413701076013,0.0006593295743762062
2023-01-08,XTZ-USD,0.03827431581377394,0.0014649232510125058
2023-01-09,XTZ-USD,0.012432591606984733,0.00015456933406606723
2023-01-10,XTZ-USD,0.001167656091128011,1.3634207471483459e-06
2023-01-11,XTZ-USD,0.03009126533584605,0.0009054842495122902
2023-01-12,XTZ-USD,0.036856604788284564,0.0013584093165198007
2023-01-13,XTZ-USD,0.030632080158704333,0.0009383243348492877
2023-01-14,XTZ-USD,0.09769561228626955,0.009544432659989102
2023-01-15,XTZ-USD,0.021107307725714897,0.00044551843942802375
2023-01-16,XTZ-USD,-0.015744165349421024,0.0002478787425499096
2023-01-17,XTZ-USD,0.008898501525922198,7.918332940683969e-05
2023-01-18,XTZ-USD,-0.06147272961002226,0.0037788964857069073
2023-01-19,XTZ-USD,0.038405796920986335,0.0014750052371360434
2023-01-20,XTZ-USD,0.0728319281322396,0.005304489755459714
2023-01-21,XTZ-USD,0.03314400808791218,0.001098525272131588
2023-01-22,XTZ-USD,0.005845477557914425,3.416960788008119e-05
2023-01-23,XTZ-USD,0.005975748729865726,3.5709572882491845e-05
2023-01-24,XTZ-USD,-0.049927278485390914,0.0024927331369577785
2023-01-25,XTZ-USD,0.031718881371187946,0.0010060874354394936
2023-01-26,XTZ-USD,0.0005104883541025007,2.605983596742802e-07
2023-01-27,XTZ-USD,0.021380401928749126,0.00045712158663485935
2023-01-28,XTZ-USD,-0.016438737507179835,0.0002702320908299611
2023-01-29,XTZ-USD,0.05641482558691613,0.0031826325460021666
2023-01-30,XTZ-USD,-0.08869711128926683,0.007867177551060586
2023-01-31,XTZ-USD,0.0036841796150857142,1.3573179436213121e-05
2023-02-01,XTZ-USD,0.03220680209151694,0.00103727810096214
2023-02-02,XTZ-USD,-0.005525910300825609,3.053568465277058e-05
2023-02-03,XTZ-USD,0.04924735949973935,0.0024253024176965677
2023-02-04,XTZ-USD,0.01928056848760451,0.00037174032120520806
2023-02-05,XTZ-USD,0.013665182915344909,0.0001867372241098344
2023-02-06,XTZ-USD,-0.02895332313294552,0.0008382949204407581
2023-02-07,XTZ-USD,0.06061771410712136,0.0036745072635726997
2023-02-08,XTZ-USD,0.00679339877200813,4.615026687552157e-05
2023-02-09,XTZ-USD,-0.11962783347291184,0.014310818541422726
2023-02-10,XTZ-USD,0.008525159935197868,7.267835192070292e-05
2023-02-11,XTZ-USD,-0.0015055035346390744,2.266540892810747e-06
2023-02-12,XTZ-USD,-0.006733433375800901,4.5339125026349524e-05
2023-02-13,XTZ-USD,-0.03633217170750813,0.0013200267009838543
2023-02-14,XTZ-USD,0.02168221494720246,0.0004701184450166898
2023-02-15,XTZ-USD,0.08067336084608967,0.006508191150203394
2023-02-16,XTZ-USD,-0.048001134461769346,0.0023041089096168606
2023-02-17,XTZ-USD,0.058201494707630363,0.0033874139862023252
2023-02-18,XTZ-USD,0.017821380706865675,0.0003176016102990441
2023-02-19,XTZ-USD,0.010181241437278832,0.00010365767720416353
2023-02-20,XTZ-USD,0.05792591099269284,0.0033554111643333733
2023-02-21,XTZ-USD,-0.03149667363301922,0.0009920404499449283
2023-02-22,XTZ-USD,0.18020811654933988,0.03247496527026047
2023-02-23,XTZ-USD,-0.06163068072485023,0.0037983408066084253
2023-02-24,XTZ-USD,-0.0827567510902456,0.006848679851012868
2023-02-25,XTZ-USD,-0.03325056563707662,0.0011056001151855408
2023-02-26,XTZ-USD,0.014783514822489296,0.00021855231050676074
2023-02-27,XTZ-USD,-0.02319699653229179,0.0005381006481191574
2023-02-28,XTZ-USD,-0.037853686045793866,0.0014329015472535293
2023-03-01,XTZ-USD,0.054143370047718076,0.002931504520124135
2023-03-02,XTZ-USD,-0.02081776919201772,0.00043337951413212214
2023-03-03,XTZ-USD,-0.03036335417311331,0.0009219332766419175
2023-03-04,XTZ-USD,-0.02494915475125803,0.0006224603228022211
2023-03-05,XTZ-USD,0.006106541575632729,3.728985001493105e-05
2023-03-06,XTZ-USD,0.014706067072320694,0.00021626840873559497
2023-03-07,XTZ-USD,-0.022727296569478694,0.000516530009357038
2023-03-08,XTZ-USD,-0.07420388643932707,0.005506216762700548
2023-03-09,XTZ-USD,-0.03884288666353908,0.001508769844356542
2023-03-10,XTZ-USD,0.02515229273597064,0.0006326378298759614
2023-03-11,XTZ-USD,-0.023645787072241298,0.0005591232462657736
2023-03-12,XTZ-USD,0.06881023924128904,0.004734849024443434
2023-03-13,XTZ-USD,0.034290598009165896,0.0011758451118262122
2023-03-14,XTZ-USD,0.09539318894360105,0.00909986049682957
2023-03-15,XTZ-USD,-0.03934148550354999,0.0015477524816260339
2023-03-16,XTZ-USD,0.034463723230920396,0.001187748218937482
2023-03-17,XTZ-USD,0.05143550685533005,0.0026456113654647045
2023-03-18,XTZ-USD,-0.04719097099247871,0.002226987743212967
2023-03-19,XTZ-USD,0.044415031774082125,0.0019726950474927246
2023-03-20,XTZ-USD,-0.06018472916895823,0.0036222016251408517
2023-03-21,XTZ-USD,0.01640636633585313,0.00026916885634621483
2023-03-22,XTZ-USD,-0.06297564428681712,0.003965931773339722
2023-03-23,XTZ-USD,0.04545584823139692,0.0020662341384357907
2023-03-24,XTZ-USD,-0.02960903661303771,0.0008766950491522076
2023-03-25,XTZ-USD,-0.017706155509938704,0.0003135079429421327
2023-03-26,XTZ-USD,0.026817920552754115,0.0007192008627738316
2023-03-27,XTZ-USD,-0.055435928730863226,0.003073142194253347
2023-03-28,XTZ-USD,0.012503430053464548,0.00015633576310188047
2023-03-29,XTZ-USD,0.042135721360065714,0.0017754190145330981
2023-03-30,XTZ-USD,-0.025972446233810786,0.0006745679633681921
2023-03-31,XTZ-USD,0.010001017370114385,0.00010002034843732964
2023-04-01,XTZ-USD,0.0018062045391002979,3.2623748370665196e-06
2023-04-02,XTZ-USD,-0.0177429452542196,0.0003148121062942338
