date,monthly_return
2023-01-31,0.3830987810337272
2023-02-28,-0.044707710835687364
2023-03-31,0.00029166951039050204
2023-04-30,-0.0610406466536062
2023-05-31,-0.07552889736059587
2023-06-30,0.1644479872881357
2023-07-31,-0.11792404726579453
2023-08-31,-0.16184351847058032
2023-09-30,0.05579265319632687
2023-10-31,0.06735322489795514
2023-11-30,0.06711921571462165
2023-12-31,0.17534090230032318
2024-01-31,0.11196933785169083
2024-02-29,0.18544074945383127
2024-03-31,0.18808533290359986
2024-04-30,-0.2584707033775414
2024-05-31,0.16409573104341035
2024-06-30,-0.20087187874839663
2024-07-31,-0.07966794707048197
2024-08-31,-0.15541765341581448
2024-09-30,0.058259294881132684
2024-10-31,-0.04504347492146432
2024-11-30,0.7610471297216068
2024-12-31,-0.23601602266596033
2025-01-31,0.07225989668987931
2025-02-28,-0.2708794701086318
2025-03-31,-0.14163636134881863
2025-04-30,-0.01627464000403589
2025-05-31,0.026447555355348484
2025-06-30,-0.021240115116171077
2025-07-31,0.24178409990157412
2025-08-31,0.0045134960475661234
2025-09-30,-0.10918846529255677
2025-10-31,-0.13998038702211868
2025-11-30,-0.13339650217763477
2025-12-31,-0.0036303461986039176
