date,monthly_return
2023-01-31,0.24847105603013864
2023-02-28,0.03457670609703811
2023-03-31,0.05587238866263622
2023-04-30,-0.07143042811794786
2023-05-31,-0.08110947268889612
2023-06-30,-0.026487401087172624
2023-07-31,0.1959630944927533
2023-08-31,-0.22123956783375298
2023-09-30,0.3923915398792872
2023-10-31,0.39042142163706206
2023-11-30,0.2663206618609977
2023-12-31,0.03760591217997766
2024-01-31,0.030274347878076258
2024-02-29,0.2525623644839381
2024-03-31,-0.0077763575077443026
2024-04-30,-0.31373665357708713
2024-05-31,0.40269564052414064
2024-06-30,-0.2259287259613394
2024-07-31,-0.10037389397723595
2024-08-31,-0.14064184110328104
2024-09-30,0.07492337439178742
2024-10-31,-0.03614395875304377
2024-11-30,0.6654046186332527
2024-12-31,0.0514493972087422
2025-01-31,0.2573310614547728
2025-02-28,-0.41082836580919546
2025-03-31,-0.08802309257413998
2025-04-30,0.057758849883395635
2025-05-31,-0.022116886662757573
2025-06-30,-0.042646494399985246
2025-07-31,0.2671508318729692
2025-08-31,0.36970935606657584
2025-09-30,-0.0815812508490007
2025-10-31,-0.1917233716024208
2025-11-30,-0.24701493536328978
2025-12-31,0.08760244388699867
