date,monthly_return
2023-01-31,0.23310433628088578
2023-02-28,0.07959910082671606
2023-03-31,0.040860445745596996
2023-04-30,-0.1417101215586315
2023-05-31,-0.13064552201157853
2023-06-30,-0.15787231943033442
2023-07-31,-0.006173430013858727
2023-08-31,-0.21323318079810283
2023-09-30,-0.007658451928669874
2023-10-31,0.09448558439643695
2023-11-30,0.06515436038837441
2023-12-31,0.2430737176899287
2024-01-31,-0.18320233155628418
2024-02-29,0.2506605330681433
2024-03-31,0.2791326654628494
2024-04-30,-0.3114906653088201
2024-05-31,0.07172094498604653
2024-06-30,-0.29091364945380904
2024-07-31,0.013577681972465339
2024-08-31,-0.17747519623051577
2024-09-30,0.07153300764992676
2024-10-31,-0.14465500591506952
2024-11-30,1.1308818484293304
2024-12-31,-0.17702453203508206
2025-01-31,0.01718956642416125
2025-02-28,-0.28585446819871807
2025-03-31,0.09879521676741176
2025-04-30,0.08938910707539294
2025-05-31,-0.041602629613049724
2025-06-30,-0.11633989660036259
2025-07-31,-0.10099649444760606
2025-08-31,-0.05028323962244341
2025-09-30,-0.1908519707782269
2025-10-31,-0.32206984133043326
2025-11-30,-0.2647608102043407
2025-12-31,-0.059705923000484606
