date,monthly_return
2023-01-31,0.4314796210893115
2023-02-28,0.19103548575121732
2023-03-31,-0.18415432850343627
2023-04-30,-0.14749831156860904
2023-05-31,-0.1597031398405675
2023-06-30,-0.0993165198174264
2023-07-31,-0.16011490685366214
2023-08-31,-0.17746785173978818
2023-09-30,0.06762043690441066
2023-10-31,0.05595702222854082
2023-11-30,0.027411966005143507
2023-12-31,0.04984961848014313
2024-01-31,-0.1597653590743653
2024-02-29,0.20124508907370298
2024-03-31,0.2524597338382035
2024-04-30,-0.29875890139419614
2024-05-31,0.07567030999007551
2024-06-30,-0.17907816723606818
2024-07-31,0.07585013660845918
2024-08-31,-0.12016043909043705
2024-09-30,0.03981558553194464
2024-10-31,-0.09057598947147938
2024-11-30,0.7804227732263389
2024-12-31,-0.04197929676496748
2025-01-31,-0.10463132655212204
2025-02-28,-0.235768706645466
2025-03-31,-0.13852502861375426
2025-04-30,0.05229240307676486
2025-05-31,-0.06763115324571656
2025-06-30,-0.084591968949154
2025-07-31,0.025790934717975667
2025-08-31,0.14867586386420872
2025-09-30,-0.05095756886198355
2025-10-31,1.3631842908657683
2025-11-30,0.008423888247470979
2025-12-31,-0.12153589739982196
