dow,avg_return
Monday,0.005774567545351533
Tuesday,0.002203850614070957
Wednesday,0.0030386514717441735
Thursday,0.00036794760593871043
Friday,0.0011291155506710448
Saturday,0.0042392040052098845
Sunday,0.0005488744457718636
