date,monthly_return
2023-01-31,0.7394676796925299
2023-02-28,0.23647183864784482
2023-03-31,-0.12111159524739601
2023-04-30,-0.04383560633292383
2023-05-31,-0.13754937266945044
2023-06-30,-0.15783736335676646
2023-07-31,0.07772025353531076
2023-08-31,-0.24514901994780258
2023-09-30,0.04431626860474047
2023-10-31,0.13976567453375544
2023-11-30,0.14663334828596652
2023-12-31,0.5799896959119906
2024-01-31,-0.2842119821470901
2024-02-29,0.6401651341469816
2024-03-31,0.22487629919255148
2024-04-30,-0.43587881643749005
2024-05-31,0.020666483906286004
2024-06-30,-0.2206899549173077
2024-07-31,-0.058721998462294756
2024-08-31,-0.15223047901775222
2024-09-30,0.06847202851076317
2024-10-31,-0.07371085807887201
2024-11-30,1.0093729109667975
2024-12-31,-0.3034834549262957
2025-01-31,-0.02737199729409645
2025-02-28,-0.32490834933583024
2025-03-31,-0.14345965802502225
2025-04-30,-0.0042751701435551626
2025-05-31,-0.061575735817329336
2025-06-30,-0.11376599917115704
2025-07-31,0.04076121010955891
2025-08-31,-0.05210602878865955
2025-09-30,-0.03682447449474624
2025-10-31,-0.3064895531101418
2025-11-30,0.04447583283445278
2025-12-31,-0.07259410794575627
