date,monthly_return
2023-01-31,0.37420194538583895
2023-02-28,-0.010939012761876477
2023-03-31,-0.060094445760303206
2023-04-30,-0.04670808806158211
2023-05-31,-0.04187950305917121
2023-06-30,1.6928442846254859
2023-07-31,-0.1862957588137759
2023-08-31,-0.1639809132225709
2023-09-30,0.12946914891903694
2023-10-31,0.04486096560651065
2023-11-30,-0.09508267495144396
2023-12-31,0.17005463312837876
2024-01-31,-0.09646022001222299
2024-02-29,0.2745220766286296
2024-03-31,1.2789921838170626
2024-04-30,-0.36192892677024435
2024-05-31,0.04778039684076063
2024-06-30,-0.1346576540458848
2024-07-31,0.05378622003472677
2024-08-31,-0.22315490010858718
2024-09-30,0.04694677355461718
2024-10-31,0.061776347460679615
2024-11-30,0.466320252114643
2024-12-31,-0.17409720838327458
2025-01-31,-0.0220705113937415
2025-02-28,-0.255462030004011
2025-03-31,-0.03972850962897123
2025-04-30,0.20741046902357296
2025-05-31,0.13183171226766266
2025-06-30,0.2207947907446839
2025-07-31,0.11108001900906794
2025-08-31,-0.031452215221478674
2025-09-30,0.028439279976857135
2025-10-31,-0.04258213464525862
2025-11-30,0.010434372027605221
2025-12-31,0.05862750333176736
