date,monthly_return
2023-01-31,0.43115821868569704
2023-02-28,-0.08332654394154948
2023-03-31,-0.08781638525777635
2023-04-30,0.034468052386809056
2023-05-31,-0.09581867937764355
2023-06-30,-0.11238099855720474
2023-07-31,-0.046141449188221495
2023-08-31,-0.21883767522127096
2023-09-30,0.04628520734471531
2023-10-31,0.09575610044879634
2023-11-30,0.16650032905939738
2023-12-31,0.14438429225084226
2024-01-31,-0.14078895419113624
2024-02-29,0.24008672082404292
2024-03-31,0.0894728173882049
2024-04-30,-0.3113764201813116
2024-05-31,-0.018967292020223403
2024-06-30,-0.19086165237343766
2024-07-31,-0.13566140091719547
2024-08-31,-0.2152984547212764
2024-09-30,0.03728154340480838
2024-10-31,-0.10489139198389075
2024-11-30,1.02908137749719
2024-12-31,-0.2798063050737841
2025-01-31,0.008302620506646985
2025-02-28,-0.25673826779475384
2025-03-31,-0.056431289146460784
2025-04-30,-0.016785529918597386
2025-05-31,0.011731090733630323
2025-06-30,-0.05885542283555989
2025-07-31,0.028911046329432644
2025-08-31,0.06009260931824678
2025-09-30,-0.08250086640050791
2025-10-31,-0.277351175123554
2025-11-30,-0.19684557241681377
2025-12-31,-0.044577504640148535
