date,monthly_return
2023-01-31,0.4668652355389513
2023-02-28,0.16291624926831405
2023-03-31,-0.12839363749458832
2023-04-30,-0.05160220574386243
2023-05-31,-0.08608530357341426
2023-06-30,-0.031955156595068646
2023-07-31,-0.053628591901357714
2023-08-31,-0.1547088041297815
2023-09-30,0.10563735109452121
2023-10-31,0.0837734691572658
2023-11-30,0.13250340111618408
2023-12-31,0.6017496455476041
2024-01-31,-0.17620261078220212
2024-02-29,0.6917676909189823
2024-03-31,-0.03254535040158235
2024-04-30,-0.21919207561003717
2024-05-31,-0.05789816147624205
2024-06-30,-0.21296271309155768
2024-07-31,-0.016275686811624612
2024-08-31,-0.1703179716352543
2024-09-30,0.11501786906357458
2024-10-31,-0.13041150574527038
2024-11-30,1.1718121235642402
2024-12-31,-0.062434701384355584
2025-01-31,0.08259033102562774
2025-02-28,-0.3982412874347746
2025-03-31,-0.19934419381760005
2025-04-30,0.16880346274228675
2025-05-31,-0.07982941076609695
2025-06-30,-0.12119205282696144
2025-07-31,0.08812175060223204
2025-08-31,0.04566499848548666
2025-09-30,-0.10120868388362902
2025-10-31,-0.28153641933252993
2025-11-30,-0.16128203003491826
2025-12-31,-0.05869766595642567
