date,monthly_return
2023-01-31,0.32567975152872064
2023-02-28,0.012202527095311444
2023-03-31,0.13458347779136814
2023-04-30,0.03013257733733843
2023-05-31,-0.0014885114001489397
2023-06-30,0.03151246505785199
2023-07-31,-0.039844325996528096
2023-08-31,-0.11341852341775926
2023-09-30,0.015509296142236728
2023-10-31,0.08694377376798723
2023-11-30,0.12997660282981038
2023-12-31,0.11152680953508098
2024-01-31,0.0004704167168723128
2024-02-29,0.46412031614766525
2024-03-31,0.09154521864078191
2024-04-30,-0.17423097361598006
2024-05-31,0.2482299261480101
2024-06-30,-0.08700402549978836
2024-07-31,-0.05872415229689487
2024-08-31,-0.22217151640522492
2024-09-30,0.035676440896093675
2024-10-31,-0.03352336701479863
2024-11-30,0.4729733401625702
2024-12-31,-0.10070244434768516
2025-01-31,-0.010282453177827167
2025-02-28,-0.3214901832713606
2025-03-31,-0.18518446597705107
2025-04-30,-0.016290055367711775
2025-05-31,0.4099242388772808
2025-06-30,-0.01685313320350279
2025-07-31,0.4867326593849237
2025-08-31,0.1875483061198815
2025-09-30,-0.05559463889533689
2025-10-31,-0.07208882287327845
2025-11-30,-0.22223808754114904
2025-12-31,0.11138537820749916
