date,symbol,open,high,low,close,volume,name,sma_7,sma_30,sma_100,returns,volatility_30,volume_ma_30
2022-12-11,SHIB-USD,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,73963284.0,Shiba Inu,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,,,73963284.0
2022-12-12,SHIB-USD,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,146037825.0,Shiba Inu,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,0.0,,110000554.5
2022-12-13,SHIB-USD,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,172383732.0,Shiba Inu,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,0.0,0.0,130794947.0
2022-12-14,SHIB-USD,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,105628211.0,Shiba Inu,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,0.0,0.0,124503263.0
2022-12-15,SHIB-USD,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,95057599.0,Shiba Inu,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,0.0,0.0,118614130.2
2022-12-16,SHIB-USD,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,163155373.0,Shiba Inu,8.833333595248405e-06,8.833333595248405e-06,8.833333595248405e-06,-0.11111114479609885,0.04969041456437981,126037670.66666667
2022-12-17,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,133002793.0,Shiba Inu,8.71428593589891e-06,8.71428593589891e-06,8.71428593589891e-06,0.0,0.0453609349144901,127032688.14285715
2022-12-18,SHIB-USD,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,249478668.0,Shiba Inu,8.71428593589891e-06,8.750000233703759e-06,8.750000233703759e-06,0.12500004263256415,0.06824360751664124,142338435.625
2022-12-19,SHIB-USD,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,201119488.0,Shiba Inu,8.571428744679516e-06,8.666666872159112e-06,8.666666872159112e-06,-0.11111114479609885,0.07477094832215168,148869663.66666666
2022-12-20,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,110917856.0,Shiba Inu,8.428571553460123e-06,8.600000182923395e-06,8.600000182923395e-06,0.0,0.0700590314169256,145074482.9
2022-12-21,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,87255813.0,Shiba Inu,8.285714362240729e-06,8.545454709912354e-06,8.545454709912354e-06,0.0,0.06614056338465336,139818240.1818182
2022-12-22,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,92821341.0,Shiba Inu,8.142857171021336e-06,8.50000014906982e-06,8.50000014906982e-06,0.0,0.06281488350625508,135901831.91666666
2022-12-23,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,78741855.0,Shiba Inu,8.142857171021336e-06,8.461538597587674e-06,8.461538597587674e-06,0.0,0.05994596294842407,131504910.61538461
2022-12-24,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,44533809.0,Shiba Inu,8.142857171021336e-06,8.428571553460123e-06,8.428571553460123e-06,0.0,0.057437860637375,125292689.07142857
2022-12-25,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,59394204.0,Shiba Inu,7.999999979801942e-06,8.400000115216245e-06,8.400000115216245e-06,0.0,0.05522069636354951,120899456.73333333
2022-12-26,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,54139505.0,Shiba Inu,7.999999979801942e-06,8.37500010675285e-06,8.37500010675285e-06,0.0,0.05324219547122788,116726959.75
2022-12-27,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,81136271.0,Shiba Inu,7.999999979801942e-06,8.352941275755738e-06,8.352941275755738e-06,0.0,0.0514623638027181,114633389.8235294
2022-12-28,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,114991994.0,Shiba Inu,7.999999979801942e-06,8.333333425980527e-06,8.333333425980527e-06,0.0,0.049850008732562234,114653312.27777778
2022-12-29,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,149077179.0,Shiba Inu,7.999999979801942e-06,8.31578956039218e-06,8.31578956039218e-06,0.0,0.048380394278529894,116465094.73684211
2022-12-30,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,92004615.0,Shiba Inu,7.999999979801942e-06,8.300000081362668e-06,8.300000081362668e-06,0.0,0.047033617569143156,115242070.75
