lag,value
0,1.0
1,0.9940998854783841
2,0.9880473612502202
3,0.9830925453405852
4,0.9784109877689449
5,0.9741433885368154
6,0.9696221802591614
7,0.9652971361157523
8,0.961235714690985
9,0.9578890385064709
10,0.954612526459417
11,0.9499613249939295
12,0.9450804811424982
13,0.9404465630454217
14,0.9355482000225482
15,0.9307023399400336
16,0.9264778258245411
17,0.9225037373611316
18,0.918044867260719
19,0.9136705910075157
20,0.9091369035846047
21,0.903976635196684
22,0.8984373522189796
23,0.893207390584302
24,0.887985469778714
25,0.8831083279156695
26,0.8782250745142136
27,0.8731427470898417
28,0.8681007327335971
29,0.8627988376643664
30,0.8574985247183833
31,0.85175084363306
32,0.8465527806134368
33,0.8413745353541761
34,0.8358820884265356
35,0.8306873504747616
36,0.8250107316368619
37,0.8194993268446915
38,0.8137031744495076
39,0.8073748089001989
40,0.8007404130740502
