lag,value
0,1.0
1,0.99653243396496
2,0.019700270355039472
3,0.03963654881627684
4,0.02234915735944357
5,-0.03603073274058448
6,-0.052633999986225866
7,0.0036739751690838592
8,-0.009084049570841378
9,0.03300799671111849
10,-0.0042590585845416855
11,-0.026437625467281317
12,-0.0038149300557708014
13,0.06584249321718419
14,-0.045288160239326504
15,-0.014914719358245142
16,-0.030562464734185342
17,-8.323509293898019e-06
18,-0.021873964239658244
19,0.05088677413629249
20,0.004098675004481102
21,0.026716602817070466
22,-0.03254442285543471
23,-0.03337151997109412
24,0.01770028239426916
25,0.00018309915815372895
26,0.024772055920234664
27,0.003400365614942318
28,-0.029434881480689106
29,0.058383107138043525
30,-0.03413061160828105
31,-0.023080286929884525
32,-0.007301337031664025
33,-0.01445356817950764
34,-0.0045508633826650755
35,0.02902380397600431
36,-0.01613981699014146
37,0.002617382420322642
38,0.034564162574439616
39,-0.03178861345214936
40,0.0018412130107738872
