lag,value
0,1.0
1,0.9931989247255397
2,0.9872327602334859
3,0.9811911265383788
4,0.9753196087445436
5,0.9693195829014671
6,0.9634282234988096
7,0.9583856985331421
8,0.9524352042032149
9,0.9476879818816314
10,0.9421419205055198
11,0.9367038426704285
12,0.9308097554943857
13,0.9241867783104663
14,0.9178370353769211
15,0.9108440422988731
16,0.9043595296006237
17,0.8977595417774321
18,0.8913446437298216
19,0.8851003443188451
20,0.8784875640849061
21,0.8718318583308554
22,0.8655533906593765
23,0.8595371635539213
24,0.853135102641015
25,0.8470725346093733
26,0.8407524901304462
27,0.8343258989299135
28,0.8277826252587772
29,0.8208999642528134
30,0.8141225230086704
31,0.8070906121237104
32,0.7998205636644402
33,0.792457067166317
34,0.7857347277294624
35,0.7787652414768605
36,0.7718945882737619
37,0.7651883694253299
38,0.7586115251652025
39,0.7534467907675564
40,0.7480386102541682
