lag,value
0,1.0
1,0.99081984952246
2,0.9826008155675305
3,0.9756304239751816
4,0.9694486690452903
5,0.9625413470721111
6,0.9556147220743224
7,0.9487025179451658
8,0.9412749416974525
9,0.934187335812915
10,0.9270183380034495
11,0.9190271785420654
12,0.9118724513560849
13,0.9044578851680766
14,0.8969067645866279
15,0.8893158056983204
16,0.8818432360490674
17,0.8747014181345555
18,0.8668677330322655
19,0.8595843953174989
20,0.8540799751447072
21,0.8486256143835677
22,0.8417025801952621
23,0.8336620170597866
24,0.8253167865599463
25,0.8170588608956911
26,0.807945174746969
27,0.800642518353406
28,0.793597637236653
29,0.7868884669375527
30,0.7807484093886221
31,0.7745325282876975
32,0.7669085843791373
33,0.7614479795647441
34,0.7563991596292368
35,0.7512596847997403
36,0.7466941524455636
37,0.7427340103727011
38,0.7387032358912702
39,0.7343123825564167
40,0.7295153096005429
