lag,value
0,1.0
1,0.9965324339649598
2,0.9932132790445253
3,0.9901767846482546
4,0.9872929157476468
5,0.9841514548790407
6,0.980656068002422
7,0.9772310601785847
8,0.9737920016573981
9,0.9705954293677749
10,0.967344008209006
11,0.9638923991697093
12,0.960431810020201
13,0.9574659956344009
14,0.9542086896984424
15,0.9508166248356056
16,0.9472198507424461
17,0.9436925297599904
18,0.9400731360027089
19,0.9367876634332217
20,0.933519821102442
21,0.9303653563935083
22,0.9270024702388219
23,0.9234584832208775
24,0.9201075788451749
25,0.9167451438098142
26,0.9136016891551584
27,0.9104185662815361
28,0.9070437206946149
29,0.904077084868882
30,0.9009272206330301
31,0.8975957172812311
32,0.8942196274765669
33,0.8907703505237577
34,0.887404824803665
35,0.8842171471522867
36,0.880911818583281
37,0.8775589910027828
38,0.8744261349970669
39,0.8711465477872314
40,0.8679287169851949
