lag,value
0,1.0
1,0.9941326729801332
2,0.9874475600454515
3,0.9809138615930918
4,0.9753028638508875
5,0.9688441464340871
6,0.9614931269836265
7,0.9539815090505893
8,0.9450046863486367
9,0.935792976469378
10,0.9262520473160758
11,0.9173392016959558
12,0.909108584800128
13,0.9013133097673902
14,0.8925198438450056
15,0.8830651953944723
16,0.8740901097657924
17,0.8661370838287928
18,0.8583149483947393
19,0.8509295628391671
20,0.8435753191803229
21,0.8368445503646569
22,0.8305686937227256
23,0.8238484895092683
24,0.8180238725717421
25,0.8120711416744018
26,0.806575624025459
27,0.8010706158065705
28,0.7953862307355696
29,0.7907434032745226
30,0.7859713900397357
31,0.7812733713179676
32,0.7754255413702027
33,0.7703148822575665
34,0.7655160471955508
35,0.7609474889544555
36,0.756124490048275
37,0.7514563283778108
38,0.7477357146690065
39,0.7435046633689759
40,0.7391271569340206
