lag,value
0,1.0
1,0.9861080472529252
2,-0.021005037731154138
3,0.09977324632708563
4,-0.027135926233606205
5,-0.009815116412290338
6,-0.05374059910327362
7,0.08437741998629839
8,0.013115225357493257
9,0.05063043126886056
10,-0.11061743606771587
11,-0.04627082262126669
12,-0.06004609502419844
13,-0.02043609685274777
14,-0.02491553103004809
15,-0.09735666980658207
16,0.04908927146248924
17,0.08629535919602935
18,-0.08202249211223185
19,0.03626340480166264
20,0.03728180596353985
21,-0.015674439324931188
22,-0.029995210240100118
23,-0.035057662635255
24,0.06956191979924665
25,0.02171848048832085
26,-0.02612510256014976
27,0.027865679429895786
28,0.01743686193247379
29,0.010126051959071111
30,-0.0001673034465647653
31,0.003545908151819482
32,-0.07787678435699084
33,0.037754054192734046
34,0.028409465344019648
35,-0.01185817808786869
36,0.023645927357530742
37,0.028027996107343654
38,-0.026553854226851633
39,-0.008741780371660422
40,0.04055426518368214
