lag,value
0,1.0
1,0.9906872101163672
2,0.9817665245818791
3,0.9734777796362449
4,0.9661503857936323
5,0.9578348010575267
6,0.9496928748360263
7,0.941786390815282
8,0.9356142750918163
9,0.9291354562150071
10,0.9226780208851436
11,0.9152141991085623
12,0.9067030290975189
13,0.8985292380438271
14,0.8897573929508062
15,0.880750078629869
16,0.8727446227681265
17,0.8654776715495578
18,0.8589715152268644
19,0.852318846256027
20,0.8457380444441376
21,0.8383589641153092
22,0.8302957162428676
23,0.822361530295029
24,0.8149382060814662
25,0.8065953184192556
26,0.7980871491975164
27,0.7892109302711181
28,0.7800405343891156
29,0.7712319633102138
30,0.7626528724926486
31,0.7543797458580874
32,0.7454112804691481
33,0.736127657606402
34,0.7277939693598757
35,0.7194057679685643
36,0.7103647992112391
37,0.7020092452417549
38,0.6936041835053571
39,0.6856775255764924
40,0.6778421678730225
