lag,value
0,1.0
1,0.9908198495224605
2,0.047977682335584484
3,0.06706841249462207
4,0.04742857454221789
5,-0.03296601464572236
6,-0.0019625322887508382
7,-0.00545224845045851
8,-0.03531519134451106
9,0.012653920986120865
10,-0.010422431568764667
11,-0.050104559898675655
12,0.040016565383814984
13,-0.02124200917761751
14,-0.010842241858305422
15,-0.0006171858081440563
16,-0.004238073918148423
17,0.01596383476757669
18,-0.03654012611137189
19,0.0211692889261639
20,0.09797738276755485
21,0.011158903406582574
22,-0.06959185650930864
23,-0.0629433280085358
24,-0.04722140579037285
25,-0.01650475384147987
26,-0.06129445197765283
27,0.0866951770077518
28,0.026360697535512827
29,0.02410027101019516
30,0.04326880794201556
31,0.002904146960487806
32,-0.07590839086964045
33,0.11254538059412168
34,0.010924437058947006
35,0.009047742808188515
36,0.057760897592644966
37,0.010444545851799925
38,0.011378974513649068
39,-0.004338601040757803
40,-0.04635594031333479
