lag,value
0,1.0
1,0.9878411298220424
2,0.01110164475536268
3,0.007187821259324723
4,-0.03148099786980625
5,-0.005100154296933153
6,0.03738880720967847
7,-0.01984496139339746
8,-0.0009871911364541161
9,0.05543666516875194
10,-0.015810872949425122
11,-0.015577223733720521
12,-0.02249943008110951
13,-0.050314799102364055
14,0.005374506483635282
15,0.005451833494336887
16,0.015510529641872895
17,0.01697227611758327
18,0.003898618739342313
19,-0.06580520969662938
20,0.022992846742055786
21,0.011078697159936882
22,0.019231296648111695
23,0.013900565381196642
24,-0.028276043115884386
25,0.01546151289779473
26,-0.05432575183824767
27,0.020713876288813052
28,0.0009701921618007564
29,-0.06622000761319757
30,0.03844887288145483
31,0.011634159642864432
32,-0.00489086840405385
33,0.03897869190452734
34,0.05150586627678972
35,-0.07475644360787423
36,-0.03078555394781977
37,0.021627408217781214
38,-0.0037536000273284114
39,0.052865133611898533
40,-0.05072907848879255
