lag,value
0,1.0
1,0.9931989247255397
2,0.05817809180133389
3,-0.004819489444717904
4,0.009092673918510671
5,-0.010970609193945971
6,0.00385332074146351
7,0.0609516509092579
8,-0.06257578786110135
9,0.07898869474945054
10,-0.05105987250795632
11,-0.0031549054849857876
12,-0.03237507257480163
13,-0.061428986093351436
14,0.006579528172608148
15,-0.03867070082539991
16,0.013345064154824187
17,0.005118478119052414
18,-0.005221789140577798
19,0.013056483394373935
20,-0.029030508921991015
21,-0.020530652569624712
22,0.04000334228699373
23,0.008226258821250455
24,-0.01612552617267103
25,0.02078234916957457
26,-0.024102443369931958
27,-0.006049205832939061
28,-0.016787640909175543
29,-0.03161848635926474
30,0.0020778107655755073
31,-0.01945496257345277
32,-0.02980507015164266
33,-0.008258795102399104
34,0.033318343962546584
35,-0.018168022170589194
36,0.0021861313318277606
37,0.0028961274014542445
38,0.013548563968053843
39,0.10491429317583266
40,-0.000583589649028753
