lag,value
0,1.0
1,0.9910580210981615
2,0.9819741472845644
3,0.9732158994287003
4,0.9642485610909816
5,0.9554897073343916
6,0.9460375292843175
7,0.9365966013860063
8,0.9277750483774401
9,0.919766891974635
10,0.9115721168304293
11,0.9022940795165056
12,0.891918164828705
13,0.8810137332488771
14,0.8692395055916998
15,0.8570120866880723
16,0.845495989119992
17,0.8329932935131926
18,0.821013123301482
19,0.810135268735928
20,0.7992364569607842
21,0.7886286977724161
22,0.777742767022826
23,0.7676617211063598
24,0.7578304156133329
25,0.748224644205331
26,0.738009086476133
27,0.7277486726199281
28,0.7179223363573444
29,0.7082071671246771
30,0.6988469126299888
31,0.6896365756692965
32,0.680033459657628
33,0.670913984880848
34,0.6623098357748264
35,0.6539805037628091
36,0.6453160169771274
37,0.6366770235445685
38,0.6287006740820693
39,0.6216604266583454
40,0.6144855398383322
