lag,value
0,1.0
1,0.9956674136489522
2,-0.03141737643985441
3,0.09468194536389925
4,0.03079151448650512
5,-0.04065468502857232
6,-0.01561065766448735
7,-0.02159117009753522
8,-0.012018128292504163
9,0.10154699030258274
10,0.019646805526282382
11,-0.054672204158268914
12,0.03270620445700391
13,0.03006732890112531
14,-0.046017131750621894
15,-0.010827442166555169
16,0.03946145229567601
17,-0.021004112048081405
18,0.008865731225545499
19,-0.013300924933740984
20,0.01321842751288195
21,-0.036761108781878535
22,-0.042303307921387256
23,-0.041385592798719076
24,0.06375618650665515
25,-0.05054388666149968
26,-0.051064907387388156
27,-0.034904898388272196
28,0.007814746752881154
29,-0.014946782005314876
30,0.002161892628329519
31,-0.030429709532687924
32,0.016358454469146546
33,-0.005717449866916135
34,-0.019381376336446293
35,0.04654381287369857
36,-0.02040601680827751
37,0.029118433906652065
38,-0.05597767585492281
39,-0.054934482294995875
40,0.024921929915910305
