date,symbol,close,lag_1,lag_7,lag_30
2023-01-20,BTC-USD,22676.552734375,21086.79296875,19909.57421875,16817.53515625
2023-01-21,BTC-USD,22777.625,22676.552734375,20976.298828125,16830.341796875
2023-01-22,BTC-USD,22720.416015625,22777.625,20880.798828125,16796.953125
2023-01-23,BTC-USD,22934.431640625,22720.416015625,21169.6328125,16847.755859375
2023-01-24,BTC-USD,22636.46875,22934.431640625,21161.51953125,16841.986328125
2023-01-25,BTC-USD,23117.859375,22636.46875,20688.78125,16919.8046875
2023-01-26,BTC-USD,23032.77734375,23117.859375,21086.79296875,16717.173828125
2023-01-27,BTC-USD,23078.728515625,23032.77734375,22676.552734375,16552.572265625
2023-01-28,BTC-USD,23031.08984375,23078.728515625,22777.625,16642.341796875
2023-01-29,BTC-USD,23774.56640625,23031.08984375,22720.416015625,16602.5859375
2023-01-30,BTC-USD,22840.138671875,23774.56640625,22934.431640625,16547.49609375
2023-01-31,BTC-USD,23139.283203125,22840.138671875,22636.46875,16625.080078125
2023-02-01,BTC-USD,23723.76953125,23139.283203125,23117.859375,16688.470703125
2023-02-02,BTC-USD,23471.87109375,23723.76953125,23032.77734375,16679.857421875
2023-02-03,BTC-USD,23449.322265625,23471.87109375,23078.728515625,16863.23828125
2023-02-04,BTC-USD,23331.84765625,23449.322265625,23031.08984375,16836.736328125
2023-02-05,BTC-USD,22955.666015625,23331.84765625,23774.56640625,16951.96875
2023-02-06,BTC-USD,22760.109375,22955.666015625,22840.138671875,16955.078125
2023-02-07,BTC-USD,23264.291015625,22760.109375,23139.283203125,17091.14453125
2023-02-08,BTC-USD,22939.3984375,23264.291015625,23723.76953125,17196.5546875
2023-02-09,BTC-USD,21819.0390625,22939.3984375,23471.87109375,17446.29296875
2023-02-10,BTC-USD,21651.18359375,21819.0390625,23449.322265625,17934.896484375
2023-02-11,BTC-USD,21870.875,21651.18359375,23331.84765625,18869.587890625
2023-02-12,BTC-USD,21788.203125,21870.875,22955.666015625,19909.57421875
2023-02-13,BTC-USD,21808.1015625,21788.203125,22760.109375,20976.298828125
2023-02-14,BTC-USD,22220.8046875,21808.1015625,23264.291015625,20880.798828125
2023-02-15,BTC-USD,24307.841796875,22220.8046875,22939.3984375,21169.6328125
2023-02-16,BTC-USD,23623.474609375,24307.841796875,21819.0390625,21161.51953125
2023-02-17,BTC-USD,24565.6015625,23623.474609375,21651.18359375,20688.78125
2023-02-18,BTC-USD,24641.27734375,24565.6015625,21870.875,21086.79296875
2023-02-19,BTC-USD,24327.642578125,24641.27734375,21788.203125,22676.552734375
2023-02-20,BTC-USD,24829.1484375,24327.642578125,21808.1015625,22777.625
2023-02-21,BTC-USD,24436.353515625,24829.1484375,22220.8046875,22720.416015625
2023-02-22,BTC-USD,24188.84375,24436.353515625,24307.841796875,22934.431640625
2023-02-23,BTC-USD,23947.4921875,24188.84375,23623.474609375,22636.46875
2023-02-24,BTC-USD,23198.126953125,23947.4921875,24565.6015625,23117.859375
2023-02-25,BTC-USD,23175.375,23198.126953125,24641.27734375,23032.77734375
2023-02-26,BTC-USD,23561.212890625,23175.375,24327.642578125,23078.728515625
2023-02-27,BTC-USD,23522.87109375,23561.212890625,24829.1484375,23031.08984375
2023-02-28,BTC-USD,23147.353515625,23522.87109375,24436.353515625,23774.56640625
2023-03-01,BTC-USD,23646.55078125,23147.353515625,24188.84375,22840.138671875
2023-03-02,BTC-USD,23475.466796875,23646.55078125,23947.4921875,23139.283203125
2023-03-03,BTC-USD,22362.6796875,23475.466796875,23198.126953125,23723.76953125
2023-03-04,BTC-USD,22353.349609375,22362.6796875,23175.375,23471.87109375
2023-03-05,BTC-USD,22435.513671875,22353.349609375,23561.212890625,23449.322265625
2023-03-06,BTC-USD,22429.7578125,22435.513671875,23522.87109375,23331.84765625
2023-03-07,BTC-USD,22219.76953125,22429.7578125,23147.353515625,22955.666015625
2023-03-08,BTC-USD,21718.080078125,22219.76953125,23646.55078125,22760.109375
2023-03-09,BTC-USD,20363.021484375,21718.080078125,23475.466796875,23264.291015625
2023-03-10,BTC-USD,20187.244140625,20363.021484375,22362.6796875,22939.3984375
2023-03-11,BTC-USD,20632.41015625,20187.244140625,22353.349609375,21819.0390625
2023-03-12,BTC-USD,22163.94921875,20632.41015625,22435.513671875,21651.18359375
2023-03-13,BTC-USD,24197.533203125,22163.94921875,22429.7578125,21870.875
2023-03-14,BTC-USD,24746.07421875,24197.533203125,22219.76953125,21788.203125
2023-03-15,BTC-USD,24375.9609375,24746.07421875,21718.080078125,21808.1015625
2023-03-16,BTC-USD,25052.7890625,24375.9609375,20363.021484375,22220.8046875
2023-03-17,BTC-USD,27423.9296875,25052.7890625,20187.244140625,24307.841796875
2023-03-18,BTC-USD,26965.87890625,27423.9296875,20632.41015625,23623.474609375
2023-03-19,BTC-USD,28038.67578125,26965.87890625,22163.94921875,24565.6015625
2023-03-20,BTC-USD,27767.236328125,28038.67578125,24197.533203125,24641.27734375
2023-03-21,BTC-USD,28175.81640625,27767.236328125,24746.07421875,24327.642578125
2023-03-22,BTC-USD,27307.4375,28175.81640625,24375.9609375,24829.1484375
2023-03-23,BTC-USD,28333.97265625,27307.4375,25052.7890625,24436.353515625
2023-03-24,BTC-USD,27493.28515625,28333.97265625,27423.9296875,24188.84375
2023-03-25,BTC-USD,27494.70703125,27493.28515625,26965.87890625,23947.4921875
2023-03-26,BTC-USD,27994.330078125,27494.70703125,28038.67578125,23198.126953125
2023-03-27,BTC-USD,27139.888671875,27994.330078125,27767.236328125,23175.375
2023-03-28,BTC-USD,27268.130859375,27139.888671875,28175.81640625,23561.212890625
2023-03-29,BTC-USD,28348.44140625,27268.130859375,27307.4375,23522.87109375
2023-03-30,BTC-USD,28033.5625,28348.44140625,28333.97265625,23147.353515625
2023-03-31,BTC-USD,28478.484375,28033.5625,27493.28515625,23646.55078125
2023-04-01,BTC-USD,28411.03515625,28478.484375,27494.70703125,23475.466796875
2023-04-02,BTC-USD,28199.30859375,28411.03515625,27994.330078125,22362.6796875
2023-04-03,BTC-USD,27790.220703125,28199.30859375,27139.888671875,22353.349609375
2023-04-04,BTC-USD,28168.08984375,27790.220703125,27268.130859375,22435.513671875
2023-04-05,BTC-USD,28177.984375,28168.08984375,28348.44140625,22429.7578125
2023-04-06,BTC-USD,28044.140625,28177.984375,28033.5625,22219.76953125
2023-04-07,BTC-USD,27925.859375,28044.140625,28478.484375,21718.080078125
2023-04-08,BTC-USD,27947.794921875,27925.859375,28411.03515625,20363.021484375
2023-04-09,BTC-USD,28333.05078125,27947.794921875,28199.30859375,20187.244140625
2023-04-10,BTC-USD,29652.98046875,28333.05078125,27790.220703125,20632.41015625
2023-04-11,BTC-USD,30235.05859375,29652.98046875,28168.08984375,22163.94921875
2023-04-12,BTC-USD,30139.052734375,30235.05859375,28177.984375,24197.533203125
2023-04-13,BTC-USD,30399.06640625,30139.052734375,28044.140625,24746.07421875
2023-04-14,BTC-USD,30485.69921875,30399.06640625,27925.859375,24375.9609375
2023-04-15,BTC-USD,30318.49609375,30485.69921875,27947.794921875,25052.7890625
2023-04-16,BTC-USD,30315.35546875,30318.49609375,28333.05078125,27423.9296875
2023-04-17,BTC-USD,29445.044921875,30315.35546875,29652.98046875,26965.87890625
2023-04-18,BTC-USD,30397.552734375,29445.044921875,30235.05859375,28038.67578125
2023-04-19,BTC-USD,28822.6796875,30397.552734375,30139.052734375,27767.236328125
2023-04-20,BTC-USD,28245.98828125,28822.6796875,30399.06640625,28175.81640625
2023-04-21,BTC-USD,27276.91015625,28245.98828125,30485.69921875,27307.4375
2023-04-22,BTC-USD,27817.5,27276.91015625,30318.49609375,28333.97265625
2023-04-23,BTC-USD,27591.384765625,27817.5,30315.35546875,27493.28515625
2023-04-24,BTC-USD,27525.33984375,27591.384765625,29445.044921875,27494.70703125
2023-04-25,BTC-USD,28307.59765625,27525.33984375,30397.552734375,27994.330078125
2023-04-26,BTC-USD,28422.701171875,28307.59765625,28822.6796875,27139.888671875
2023-04-27,BTC-USD,29473.787109375,28422.701171875,28245.98828125,27268.130859375
2023-04-28,BTC-USD,29340.26171875,29473.787109375,27276.91015625,28348.44140625
2023-04-29,BTC-USD,29248.48828125,29340.26171875,27817.5,28033.5625
2023-04-30,BTC-USD,29268.806640625,29248.48828125,27591.384765625,28478.484375
2023-05-01,BTC-USD,28091.568359375,29268.806640625,27525.33984375,28411.03515625
2023-05-02,BTC-USD,28680.537109375,28091.568359375,28307.59765625,28199.30859375
2023-05-03,BTC-USD,29006.30859375,28680.537109375,28422.701171875,27790.220703125
2023-05-04,BTC-USD,28847.7109375,29006.30859375,29473.787109375,28168.08984375
2023-05-05,BTC-USD,29534.384765625,28847.7109375,29340.26171875,28177.984375
2023-05-06,BTC-USD,28904.623046875,29534.384765625,29248.48828125,28044.140625
2023-05-07,BTC-USD,28454.978515625,28904.623046875,29268.806640625,27925.859375
2023-05-08,BTC-USD,27694.2734375,28454.978515625,28091.568359375,27947.794921875
2023-05-09,BTC-USD,27658.775390625,27694.2734375,28680.537109375,28333.05078125
2023-05-10,BTC-USD,27621.755859375,27658.775390625,29006.30859375,29652.98046875
2023-05-11,BTC-USD,27000.7890625,27621.755859375,28847.7109375,30235.05859375
2023-05-12,BTC-USD,26804.990234375,27000.7890625,29534.384765625,30139.052734375
2023-05-13,BTC-USD,26784.078125,26804.990234375,28904.623046875,30399.06640625
2023-05-14,BTC-USD,26930.638671875,26784.078125,28454.978515625,30485.69921875
2023-05-15,BTC-USD,27192.693359375,26930.638671875,27694.2734375,30318.49609375
2023-05-16,BTC-USD,27036.650390625,27192.693359375,27658.775390625,30315.35546875
2023-05-17,BTC-USD,27398.802734375,27036.650390625,27621.755859375,29445.044921875
2023-05-18,BTC-USD,26832.208984375,27398.802734375,27000.7890625,30397.552734375
2023-05-19,BTC-USD,26890.12890625,26832.208984375,26804.990234375,28822.6796875
2023-05-20,BTC-USD,27129.5859375,26890.12890625,26784.078125,28245.98828125
2023-05-21,BTC-USD,26753.826171875,27129.5859375,26930.638671875,27276.91015625
2023-05-22,BTC-USD,26851.27734375,26753.826171875,27192.693359375,27817.5
2023-05-23,BTC-USD,27225.7265625,26851.27734375,27036.650390625,27591.384765625
2023-05-24,BTC-USD,26334.818359375,27225.7265625,27398.802734375,27525.33984375
2023-05-25,BTC-USD,26476.20703125,26334.818359375,26832.208984375,28307.59765625
2023-05-26,BTC-USD,26719.291015625,26476.20703125,26890.12890625,28422.701171875
2023-05-27,BTC-USD,26868.353515625,26719.291015625,27129.5859375,29473.787109375
2023-05-28,BTC-USD,28085.646484375,26868.353515625,26753.826171875,29340.26171875
2023-05-29,BTC-USD,27745.884765625,28085.646484375,26851.27734375,29248.48828125
2023-05-30,BTC-USD,27702.349609375,27745.884765625,27225.7265625,29268.806640625
2023-05-31,BTC-USD,27219.658203125,27702.349609375,26334.818359375,28091.568359375
2023-06-01,BTC-USD,26819.97265625,27219.658203125,26476.20703125,28680.537109375
2023-06-02,BTC-USD,27249.58984375,26819.97265625,26719.291015625,29006.30859375
2023-06-03,BTC-USD,27075.12890625,27249.58984375,26868.353515625,28847.7109375
2023-06-04,BTC-USD,27119.06640625,27075.12890625,28085.646484375,29534.384765625
2023-06-05,BTC-USD,25760.09765625,27119.06640625,27745.884765625,28904.623046875
2023-06-06,BTC-USD,27238.783203125,25760.09765625,27702.349609375,28454.978515625
2023-06-07,BTC-USD,26345.998046875,27238.783203125,27219.658203125,27694.2734375
2023-06-08,BTC-USD,26508.216796875,26345.998046875,26819.97265625,27658.775390625
2023-06-09,BTC-USD,26480.375,26508.216796875,27249.58984375,27621.755859375
2023-06-10,BTC-USD,25851.240234375,26480.375,27075.12890625,27000.7890625
2023-06-11,BTC-USD,25940.16796875,25851.240234375,27119.06640625,26804.990234375
2023-06-12,BTC-USD,25902.5,25940.16796875,25760.09765625,26784.078125
2023-06-13,BTC-USD,25918.728515625,25902.5,27238.783203125,26930.638671875
2023-06-14,BTC-USD,25124.67578125,25918.728515625,26345.998046875,27192.693359375
2023-06-15,BTC-USD,25576.39453125,25124.67578125,26508.216796875,27036.650390625
