lag,value
0,1.0
1,0.9942423477484175
2,-0.09628041414057523
3,0.014332660944914009
4,-0.006887520716857875
5,-0.011729695607223287
6,0.015708944525414617
7,0.02959653917363479
8,-0.09758837081765842
9,0.04503770168000311
10,-0.00555338092586232
11,-0.035381748802971874
12,-0.046883667837882816
13,0.012749354505104475
14,-0.045590078678931625
15,-0.039976617269884336
16,0.06621997722212125
17,0.027809143864629588
18,-0.04313020370021085
19,-0.00612968336299967
20,-0.06763667212755407
21,0.030855651228883788
22,0.0010946055809572454
23,-0.001378619013720653
24,-0.029349352609725324
25,-0.0779337552730892
26,-0.008577669160254044
27,-0.03327823521268688
28,0.006863156107964177
29,0.021945718625575428
30,0.04202318340868007
31,0.002623668143527854
32,-0.04759483006995319
33,0.009967353155230299
34,0.02259311608105484
35,0.05674642247544871
36,-0.03638016479968244
37,0.0032413027786887174
38,0.03351213684500501
39,0.09359586700159381
40,0.01661394323074094
