lag,value
0,1.0
1,0.9864905249326573
2,0.9736151021670437
3,0.9599139357375638
4,0.9462271673110652
5,0.932935530719819
6,0.9190459214550714
7,0.907111933363953
8,0.8950461854913688
9,0.8855629972257935
10,0.8751186770489136
11,0.8649086365777019
12,0.8535031476908542
13,0.8415650558392627
14,0.8295043585257832
15,0.8164721556551461
16,0.8049655897152155
17,0.7934843733871516
18,0.782082544508925
19,0.7709545818863626
20,0.7602388270802181
21,0.7506093972406566
22,0.7405994586311866
23,0.7309819319152601
24,0.721729347346709
25,0.7126321926536583
26,0.7034358826040144
27,0.6943344724328477
28,0.6858806396984477
29,0.6767263877743138
30,0.6672802616109056
31,0.657940317029063
32,0.647695776224095
33,0.6381184263816286
34,0.6299242729969964
35,0.6207388652336071
36,0.6104998683402261
37,0.6008258540358904
38,0.5923314621160074
39,0.5844757387253408
40,0.5766704383348445
