lag,value
0,1.0
1,0.9835726621831198
2,0.9610845692587853
3,0.9375964714789936
4,0.9112192084689343
5,0.8890386226578632
6,0.8712258170425949
7,0.8572276888448257
8,0.8495456927423914
9,0.8418749262014963
10,0.8336620735678608
11,0.8286950002844594
12,0.8179918663799589
13,0.8029858577626935
14,0.7871445060381989
15,0.7672286387016419
16,0.7497576301408484
17,0.735176455273233
18,0.7220666959527479
19,0.7134211142992573
20,0.7056208766442548
21,0.6961424693586279
22,0.6880356943233428
23,0.676590630670975
24,0.6606402153164705
25,0.6443908856365771
26,0.626045719435143
27,0.6097396079863827
28,0.5971603570910519
29,0.5855007873946081
30,0.574885227946103
31,0.5641901909241248
32,0.5521976259162432
33,0.5401564879204476
34,0.5254652625620759
35,0.5087190762458692
36,0.49254740946125714
37,0.47582300201489486
38,0.45933448399872157
39,0.4458775679575715
40,0.4351987887286463
