lag,value
0,1.0
1,0.9840276583426052
2,0.9703864699662955
3,0.9570146292916916
4,0.9433146238946635
5,0.9299647037084915
6,0.9176327878010982
7,0.9038346240094247
8,0.8892378330075873
9,0.8766211812996078
10,0.8639028771252435
11,0.8514881404999872
12,0.8395397353805427
13,0.8254612543215578
14,0.8104345371958154
15,0.7945540650800743
16,0.7797993756055478
17,0.7666975102225717
18,0.753950224645592
19,0.7402458940286969
20,0.7269483406282565
21,0.7133798411538459
22,0.7010010519019807
23,0.6881362341065423
24,0.6757521309195341
25,0.6628989019867852
26,0.648249747061557
27,0.6346780405997008
28,0.6202850147928377
29,0.6062119745437633
30,0.5922119312179308
31,0.5787399930160716
32,0.5654363572596147
33,0.5526341450642022
34,0.5405333380884122
35,0.5273161794107921
36,0.5130141957974518
37,0.49937828348021607
38,0.4860414809553839
39,0.4743140070764535
40,0.4625823052396279
