lag,value
0,1.0
1,0.9925435738083886
2,0.9852823156844447
3,0.9783432158227978
4,0.9715496645769682
5,0.9647120080935837
6,0.9578322956247526
7,0.9506797797435941
8,0.943554178031055
9,0.9371000508584468
10,0.930854434151456
11,0.9241680674330166
12,0.9172069983840506
13,0.9110253407450789
14,0.9046812360945332
15,0.8974484816688556
16,0.8905662505653397
17,0.8840699594678997
18,0.8773323614750091
19,0.8705189806700412
20,0.8634930090344762
21,0.856378800005714
22,0.8488897839285746
23,0.8416081196135886
24,0.8345547152881797
25,0.8269378995750497
26,0.8185992580783441
27,0.8103766898972318
28,0.8018885787985102
29,0.7927363101804077
30,0.7838315915437204
31,0.7743397924822766
32,0.7644115144345305
33,0.7548597391698196
34,0.7456157037198224
35,0.7370131939101363
36,0.7279417329704009
37,0.7195573113406302
38,0.7105474212231089
39,0.7013912897729492
40,0.692689084724114
