lag,value
0,1.0
1,0.9956674136489522
2,0.9910819513548351
3,0.9873268854865811
4,0.9839027502182643
5,0.9800845127476813
6,0.9760693478441202
7,0.9719348039454085
8,0.9677618647142352
9,0.9644917406285128
10,0.9614635601177683
11,0.9578269471416231
12,0.9543406487577243
13,0.951290382701202
14,0.9479348060944677
15,0.9443835549491025
16,0.9412239397867149
17,0.9379194206500099
18,0.9345721014470401
19,0.9312091402543613
20,0.9279928840696293
21,0.9243774972400588
22,0.920455692660933
23,0.9163168621833725
24,0.9126709225154018
25,0.9086935216034754
26,0.9042679244252342
27,0.8994935140688987
28,0.8948479609218001
29,0.8902706181624218
30,0.8857876049443101
31,0.8810451580468942
32,0.8763068449117559
33,0.871627587141879
34,0.8670127877159043
35,0.862767552266634
36,0.8583149035396981
37,0.8541158717787215
38,0.8495478334600801
39,0.8444670789099642
40,0.8396415810139083
