date,symbol,close
2023-02-20,BTC-USD,24829.1484375
2023-02-21,BTC-USD,24436.353515625
2023-02-22,BTC-USD,24188.84375
2023-02-23,BTC-USD,23947.4921875
2023-02-24,BTC-USD,23198.126953125
2023-02-25,BTC-USD,23175.375
2023-02-26,BTC-USD,23561.212890625
2023-02-27,BTC-USD,23522.87109375
2023-02-28,BTC-USD,23147.353515625
2023-03-01,BTC-USD,23646.55078125
2023-03-02,BTC-USD,23475.466796875
2023-03-03,BTC-USD,22362.6796875
2023-03-04,BTC-USD,22353.349609375
2023-03-05,BTC-USD,22435.513671875
2023-03-06,BTC-USD,22429.7578125
2023-03-07,BTC-USD,22219.76953125
2023-03-08,BTC-USD,21718.080078125
2023-03-09,BTC-USD,20363.021484375
2023-03-10,BTC-USD,20187.244140625
2023-03-11,BTC-USD,20632.41015625
2023-03-12,BTC-USD,22163.94921875
2023-03-13,BTC-USD,24197.533203125
2023-03-14,BTC-USD,24746.07421875
2023-03-15,BTC-USD,24375.9609375
2023-03-16,BTC-USD,25052.7890625
2023-03-17,BTC-USD,27423.9296875
2023-03-18,BTC-USD,26965.87890625
2023-03-19,BTC-USD,28038.67578125
2023-03-20,BTC-USD,27767.236328125
2023-03-21,BTC-USD,28175.81640625
2023-03-22,BTC-USD,27307.4375
2023-03-23,BTC-USD,28333.97265625
2023-03-24,BTC-USD,27493.28515625
2023-03-25,BTC-USD,27494.70703125
2023-03-26,BTC-USD,27994.330078125
2023-03-27,BTC-USD,27139.888671875
2023-03-28,BTC-USD,27268.130859375
2023-03-29,BTC-USD,28348.44140625
2023-03-30,BTC-USD,28033.5625
2023-03-31,BTC-USD,28478.484375
2023-04-01,BTC-USD,28411.03515625
2023-04-02,BTC-USD,28199.30859375
2023-04-03,BTC-USD,27790.220703125
2023-04-04,BTC-USD,28168.08984375
2023-04-05,BTC-USD,28177.984375
2023-04-06,BTC-USD,28044.140625
2023-04-07,BTC-USD,27925.859375
2023-04-08,BTC-USD,27947.794921875
2023-04-09,BTC-USD,28333.05078125
2023-04-10,BTC-USD,29652.98046875
2023-04-11,BTC-USD,30235.05859375
2023-04-12,BTC-USD,30139.052734375
2023-04-13,BTC-USD,30399.06640625
2023-04-14,BTC-USD,30485.69921875
2023-04-15,BTC-USD,30318.49609375
2023-04-16,BTC-USD,30315.35546875
2023-04-17,BTC-USD,29445.044921875
2023-04-18,BTC-USD,30397.552734375
2023-04-19,BTC-USD,28822.6796875
2023-04-20,BTC-USD,28245.98828125
2023-04-21,BTC-USD,27276.91015625
2023-04-22,BTC-USD,27817.5
2023-04-23,BTC-USD,27591.384765625
2023-04-24,BTC-USD,27525.33984375
2023-04-25,BTC-USD,28307.59765625
2023-04-26,BTC-USD,28422.701171875
2023-04-27,BTC-USD,29473.787109375
2023-04-28,BTC-USD,29340.26171875
2023-04-29,BTC-USD,29248.48828125
2023-04-30,BTC-USD,29268.806640625
2023-05-01,BTC-USD,28091.568359375
2023-05-02,BTC-USD,28680.537109375
2023-05-03,BTC-USD,29006.30859375
2023-05-04,BTC-USD,28847.7109375
2023-05-05,BTC-USD,29534.384765625
2023-05-06,BTC-USD,28904.623046875
2023-05-07,BTC-USD,28454.978515625
2023-05-08,BTC-USD,27694.2734375
2023-05-09,BTC-USD,27658.775390625
2023-05-10,BTC-USD,27621.755859375
2023-05-11,BTC-USD,27000.7890625
2023-05-12,BTC-USD,26804.990234375
2023-05-13,BTC-USD,26784.078125
2023-05-14,BTC-USD,26930.638671875
2023-05-15,BTC-USD,27192.693359375
2023-05-16,BTC-USD,27036.650390625
2023-05-17,BTC-USD,27398.802734375
2023-05-18,BTC-USD,26832.208984375
2023-05-19,BTC-USD,26890.12890625
2023-05-20,BTC-USD,27129.5859375
2023-05-21,BTC-USD,26753.826171875
2023-05-22,BTC-USD,26851.27734375
2023-05-23,BTC-USD,27225.7265625
2023-05-24,BTC-USD,26334.818359375
2023-05-25,BTC-USD,26476.20703125
2023-05-26,BTC-USD,26719.291015625
2023-05-27,BTC-USD,26868.353515625
2023-05-28,BTC-USD,28085.646484375
2023-05-29,BTC-USD,27745.884765625
2023-05-30,BTC-USD,27702.349609375
2023-05-31,BTC-USD,27219.658203125
2023-06-01,BTC-USD,26819.97265625
2023-06-02,BTC-USD,27249.58984375
2023-06-03,BTC-USD,27075.12890625
2023-06-04,BTC-USD,27119.06640625
2023-06-05,BTC-USD,25760.09765625
2023-06-06,BTC-USD,27238.783203125
2023-06-07,BTC-USD,26345.998046875
2023-06-08,BTC-USD,26508.216796875
2023-06-09,BTC-USD,26480.375
2023-06-10,BTC-USD,25851.240234375
2023-06-11,BTC-USD,25940.16796875
2023-06-12,BTC-USD,25902.5
2023-06-13,BTC-USD,25918.728515625
2023-06-14,BTC-USD,25124.67578125
2023-06-15,BTC-USD,25576.39453125
2023-06-16,BTC-USD,26327.462890625
2023-06-17,BTC-USD,26510.67578125
2023-06-18,BTC-USD,26336.212890625
2023-06-19,BTC-USD,26851.029296875
2023-06-20,BTC-USD,28327.48828125
2023-06-21,BTC-USD,30027.296875
2023-06-22,BTC-USD,29912.28125
2023-06-23,BTC-USD,30695.46875
2023-06-24,BTC-USD,30548.6953125
2023-06-25,BTC-USD,30480.26171875
2023-06-26,BTC-USD,30271.130859375
2023-06-27,BTC-USD,30688.1640625
2023-06-28,BTC-USD,30086.24609375
2023-06-29,BTC-USD,30445.3515625
2023-06-30,BTC-USD,30477.251953125
2023-07-01,BTC-USD,30590.078125
2023-07-02,BTC-USD,30620.76953125
2023-07-03,BTC-USD,31156.439453125
2023-07-04,BTC-USD,30777.58203125
2023-07-05,BTC-USD,30514.166015625
2023-07-06,BTC-USD,29909.337890625
2023-07-07,BTC-USD,30342.265625
2023-07-08,BTC-USD,30292.541015625
2023-07-09,BTC-USD,30171.234375
2023-07-10,BTC-USD,30414.470703125
2023-07-11,BTC-USD,30620.951171875
2023-07-12,BTC-USD,30391.646484375
2023-07-13,BTC-USD,31476.048828125
2023-07-14,BTC-USD,30334.068359375
2023-07-15,BTC-USD,30295.806640625
2023-07-16,BTC-USD,30249.1328125
2023-07-17,BTC-USD,30145.888671875
2023-07-18,BTC-USD,29856.5625
2023-07-19,BTC-USD,29913.923828125
2023-07-20,BTC-USD,29792.015625
2023-07-21,BTC-USD,29908.744140625
2023-07-22,BTC-USD,29771.802734375
2023-07-23,BTC-USD,30084.5390625
2023-07-24,BTC-USD,29176.916015625
2023-07-25,BTC-USD,29227.390625
2023-07-26,BTC-USD,29354.97265625
2023-07-27,BTC-USD,29210.689453125
2023-07-28,BTC-USD,29319.24609375
2023-07-29,BTC-USD,29356.91796875
2023-07-30,BTC-USD,29275.30859375
2023-07-31,BTC-USD,29230.111328125
2023-08-01,BTC-USD,29675.732421875
2023-08-02,BTC-USD,29151.958984375
2023-08-03,BTC-USD,29178.6796875
2023-08-04,BTC-USD,29074.091796875
2023-08-05,BTC-USD,29042.126953125
2023-08-06,BTC-USD,29041.85546875
2023-08-07,BTC-USD,29180.578125
2023-08-08,BTC-USD,29765.4921875
2023-08-09,BTC-USD,29561.494140625
2023-08-10,BTC-USD,29429.591796875
2023-08-11,BTC-USD,29397.71484375
2023-08-12,BTC-USD,29415.96484375
2023-08-13,BTC-USD,29282.9140625
2023-08-14,BTC-USD,29408.443359375
2023-08-15,BTC-USD,29170.34765625
2023-08-16,BTC-USD,28701.779296875
2023-08-17,BTC-USD,26664.55078125
2023-08-18,BTC-USD,26049.556640625
2023-08-19,BTC-USD,26096.205078125
2023-08-20,BTC-USD,26189.583984375
2023-08-21,BTC-USD,26124.140625
2023-08-22,BTC-USD,26031.65625
2023-08-23,BTC-USD,26431.640625
2023-08-24,BTC-USD,26162.373046875
2023-08-25,BTC-USD,26047.66796875
2023-08-26,BTC-USD,26008.462890625
2023-08-27,BTC-USD,26089.693359375
2023-08-28,BTC-USD,26106.150390625
2023-08-29,BTC-USD,27727.392578125
2023-08-30,BTC-USD,27297.265625
2023-08-31,BTC-USD,25931.47265625
2023-09-01,BTC-USD,25800.724609375
2023-09-02,BTC-USD,25868.798828125
2023-09-03,BTC-USD,25969.56640625
2023-09-04,BTC-USD,25812.416015625
2023-09-05,BTC-USD,25779.982421875
2023-09-06,BTC-USD,25753.236328125
2023-09-07,BTC-USD,26240.1953125
2023-09-08,BTC-USD,25905.654296875
2023-09-09,BTC-USD,25895.677734375
2023-09-10,BTC-USD,25832.2265625
2023-09-11,BTC-USD,25162.654296875
2023-09-12,BTC-USD,25833.34375
2023-09-13,BTC-USD,26228.32421875
2023-09-14,BTC-USD,26539.673828125
2023-09-15,BTC-USD,26608.693359375
2023-09-16,BTC-USD,26568.28125
2023-09-17,BTC-USD,26534.1875
2023-09-18,BTC-USD,26754.28125
2023-09-19,BTC-USD,27211.1171875
2023-09-20,BTC-USD,27132.0078125
2023-09-21,BTC-USD,26567.6328125
2023-09-22,BTC-USD,26579.568359375
2023-09-23,BTC-USD,26579.390625
2023-09-24,BTC-USD,26256.826171875
2023-09-25,BTC-USD,26298.48046875
2023-09-26,BTC-USD,26217.25
2023-09-27,BTC-USD,26352.716796875
