date,symbol,close
2022-12-11,DASH-USD,46.66819763183594
2022-12-12,DASH-USD,48.86445617675781
2022-12-13,DASH-USD,48.25510025024414
2022-12-14,DASH-USD,48.84358596801758
2022-12-15,DASH-USD,46.54599380493164
2022-12-16,DASH-USD,43.3486442565918
2022-12-17,DASH-USD,43.151458740234375
2022-12-18,DASH-USD,42.53326034545898
2022-12-19,DASH-USD,41.30797576904297
2022-12-20,DASH-USD,42.20294189453125
2022-12-21,DASH-USD,42.51985549926758
2022-12-22,DASH-USD,42.741825103759766
2022-12-23,DASH-USD,43.28707504272461
2022-12-24,DASH-USD,43.85197448730469
2022-12-25,DASH-USD,44.54528045654297
2022-12-26,DASH-USD,44.89340972900391
2022-12-27,DASH-USD,44.07754898071289
2022-12-28,DASH-USD,42.958438873291016
2022-12-29,DASH-USD,42.59868240356445
2022-12-30,DASH-USD,41.98278045654297
2022-12-31,DASH-USD,42.0158576965332
2023-01-01,DASH-USD,42.20969772338867
2023-01-02,DASH-USD,43.59601974487305
2023-01-03,DASH-USD,42.89097213745117
2023-01-04,DASH-USD,45.799442291259766
2023-01-05,DASH-USD,44.8953857421875
2023-01-06,DASH-USD,45.92698287963867
2023-01-07,DASH-USD,46.3560676574707
2023-01-08,DASH-USD,47.71683883666992
2023-01-09,DASH-USD,48.93963623046875
2023-01-10,DASH-USD,48.366943359375
2023-01-11,DASH-USD,49.05345916748047
2023-01-12,DASH-USD,49.35648727416992
2023-01-13,DASH-USD,51.55645751953125
2023-01-14,DASH-USD,51.570457458496094
2023-01-15,DASH-USD,51.69500732421875
2023-01-16,DASH-USD,49.22496795654297
2023-01-17,DASH-USD,49.34992218017578
2023-01-18,DASH-USD,46.948516845703125
2023-01-19,DASH-USD,49.04390335083008
2023-01-20,DASH-USD,51.85006713867188
2023-01-21,DASH-USD,52.47555923461914
2023-01-22,DASH-USD,51.48159408569336
2023-01-23,DASH-USD,52.013553619384766
2023-01-24,DASH-USD,48.95628356933594
2023-01-25,DASH-USD,50.57054138183594
2023-01-26,DASH-USD,50.84861755371094
2023-01-27,DASH-USD,51.64287185668945
2023-01-28,DASH-USD,50.67060852050781
2023-01-29,DASH-USD,56.81143569946289
2023-01-30,DASH-USD,59.32993698120117
2023-01-31,DASH-USD,60.14484405517578
2023-02-01,DASH-USD,62.969871520996094
2023-02-02,DASH-USD,61.38241958618164
2023-02-03,DASH-USD,62.86627197265625
2023-02-04,DASH-USD,61.49489974975586
2023-02-05,DASH-USD,59.51626968383789
2023-02-06,DASH-USD,61.88891220092773
2023-02-07,DASH-USD,65.76837921142578
2023-02-08,DASH-USD,63.87453842163086
2023-02-09,DASH-USD,57.239036560058594
2023-02-10,DASH-USD,57.851318359375
2023-02-11,DASH-USD,62.16973114013672
2023-02-12,DASH-USD,62.36994934082031
2023-02-13,DASH-USD,63.19940948486328
2023-02-14,DASH-USD,68.11457824707031
2023-02-15,DASH-USD,73.35304260253906
2023-02-16,DASH-USD,73.2477035522461
2023-02-17,DASH-USD,73.0770492553711
2023-02-18,DASH-USD,72.15644836425781
2023-02-19,DASH-USD,70.46451568603516
2023-02-20,DASH-USD,72.23416137695312
2023-02-21,DASH-USD,70.4158935546875
2023-02-22,DASH-USD,73.41566467285156
2023-02-23,DASH-USD,70.96410369873047
2023-02-24,DASH-USD,70.11471557617188
2023-02-25,DASH-USD,69.39730834960938
2023-02-26,DASH-USD,74.12153625488281
2023-02-27,DASH-USD,74.21278381347656
2023-02-28,DASH-USD,71.6346435546875
2023-03-01,DASH-USD,74.0114517211914
2023-03-02,DASH-USD,72.29716491699219
2023-03-03,DASH-USD,69.2184066772461
2023-03-04,DASH-USD,67.31237030029297
2023-03-05,DASH-USD,65.2165756225586
2023-03-06,DASH-USD,62.44868087768555
2023-03-07,DASH-USD,62.01383972167969
2023-03-08,DASH-USD,58.26456069946289
2023-03-09,DASH-USD,54.70367813110352
2023-03-10,DASH-USD,50.17259979248047
2023-03-11,DASH-USD,46.64661407470703
2023-03-12,DASH-USD,53.44081115722656
2023-03-13,DASH-USD,56.45023727416992
2023-03-14,DASH-USD,58.502220153808594
2023-03-15,DASH-USD,52.06405258178711
2023-03-16,DASH-USD,53.09640884399414
2023-03-17,DASH-USD,58.3017578125
2023-03-18,DASH-USD,55.79490661621094
2023-03-19,DASH-USD,57.75036239624024
2023-03-20,DASH-USD,55.81828689575195
2023-03-21,DASH-USD,58.70364761352539
2023-03-22,DASH-USD,58.89796447753906
2023-03-23,DASH-USD,63.601837158203125
2023-03-24,DASH-USD,61.67356491088867
2023-03-25,DASH-USD,58.29046630859375
2023-03-26,DASH-USD,59.26087188720703
2023-03-27,DASH-USD,56.10701370239258
2023-03-28,DASH-USD,56.50049209594727
2023-03-29,DASH-USD,58.19028854370117
2023-03-30,DASH-USD,56.46976089477539
2023-03-31,DASH-USD,58.442813873291016
2023-04-01,DASH-USD,58.53875732421875
2023-04-02,DASH-USD,57.094764709472656
2023-04-03,DASH-USD,57.86403274536133
2023-04-04,DASH-USD,57.66388702392578
2023-04-05,DASH-USD,57.68196105957031
2023-04-06,DASH-USD,56.54803085327149
2023-04-07,DASH-USD,56.06974792480469
2023-04-08,DASH-USD,55.62736129760742
2023-04-09,DASH-USD,55.78133773803711
2023-04-10,DASH-USD,57.64890670776367
2023-04-11,DASH-USD,57.03773498535156
2023-04-12,DASH-USD,55.95865631103516
2023-04-13,DASH-USD,57.2861442565918
2023-04-14,DASH-USD,60.007286071777344
2023-04-15,DASH-USD,59.75632858276367
2023-04-16,DASH-USD,61.04977798461914
2023-04-17,DASH-USD,58.45672225952149
2023-04-18,DASH-USD,59.76653671264648
2023-04-19,DASH-USD,53.0970458984375
2023-04-20,DASH-USD,51.67251968383789
2023-04-21,DASH-USD,48.9100456237793
2023-04-22,DASH-USD,50.25083541870117
2023-04-23,DASH-USD,50.19778060913086
2023-04-24,DASH-USD,50.15987396240234
2023-04-25,DASH-USD,51.5712890625
2023-04-26,DASH-USD,49.79174041748047
2023-04-27,DASH-USD,50.67306137084961
2023-04-28,DASH-USD,50.06275939941406
2023-04-29,DASH-USD,51.08047103881836
2023-04-30,DASH-USD,49.82259750366211
2023-05-01,DASH-USD,48.30173110961914
2023-05-02,DASH-USD,48.63888931274414
2023-05-03,DASH-USD,49.275917053222656
2023-05-04,DASH-USD,48.7041015625
2023-05-05,DASH-USD,48.79220962524414
2023-05-06,DASH-USD,45.51885223388672
2023-05-07,DASH-USD,45.61125183105469
2023-05-08,DASH-USD,41.773719787597656
2023-05-09,DASH-USD,42.06634521484375
2023-05-10,DASH-USD,43.09428405761719
2023-05-11,DASH-USD,40.84606170654297
2023-05-12,DASH-USD,40.8906135559082
2023-05-13,DASH-USD,40.70320510864258
2023-05-14,DASH-USD,41.233673095703125
2023-05-15,DASH-USD,42.07869720458984
2023-05-16,DASH-USD,43.23038864135742
2023-05-17,DASH-USD,44.37293243408203
2023-05-18,DASH-USD,43.22809982299805
2023-05-19,DASH-USD,44.55652618408203
2023-05-20,DASH-USD,44.359336853027344
2023-05-21,DASH-USD,43.9658203125
2023-05-22,DASH-USD,43.52482986450195
2023-05-23,DASH-USD,43.4189338684082
2023-05-24,DASH-USD,41.14638519287109
2023-05-25,DASH-USD,40.99567794799805
2023-05-26,DASH-USD,41.96009063720703
2023-05-27,DASH-USD,42.266700744628906
2023-05-28,DASH-USD,43.901004791259766
2023-05-29,DASH-USD,43.25724792480469
2023-05-30,DASH-USD,43.86254119873047
2023-05-31,DASH-USD,41.86577224731445
2023-06-01,DASH-USD,41.87300109863281
2023-06-02,DASH-USD,42.72666549682617
2023-06-03,DASH-USD,42.63053512573242
2023-06-04,DASH-USD,42.63483428955078
2023-06-05,DASH-USD,39.17529296875
2023-06-06,DASH-USD,40.09473419189453
2023-06-07,DASH-USD,38.48867034912109
2023-06-08,DASH-USD,38.79486083984375
2023-06-09,DASH-USD,38.43102264404297
2023-06-10,DASH-USD,29.901290893554688
2023-06-11,DASH-USD,29.171762466430664
2023-06-12,DASH-USD,29.16490936279297
2023-06-13,DASH-USD,29.71117210388184
2023-06-14,DASH-USD,29.030237197875977
2023-06-15,DASH-USD,29.645132064819336
2023-06-16,DASH-USD,30.6439208984375
2023-06-17,DASH-USD,31.183910369873047
2023-06-18,DASH-USD,30.182979583740234
2023-06-19,DASH-USD,30.832490921020508
2023-06-20,DASH-USD,32.7928466796875
2023-06-21,DASH-USD,33.503231048583984
2023-06-22,DASH-USD,32.9533805847168
2023-06-23,DASH-USD,34.71865463256836
2023-06-24,DASH-USD,35.125396728515625
2023-06-25,DASH-USD,35.4239387512207
2023-06-26,DASH-USD,36.09701156616211
2023-06-27,DASH-USD,36.10109329223633
2023-06-28,DASH-USD,33.86248779296875
2023-06-29,DASH-USD,34.24509811401367
2023-06-30,DASH-USD,37.70780944824219
2023-07-01,DASH-USD,38.05538177490234
2023-07-02,DASH-USD,38.23537063598633
2023-07-03,DASH-USD,37.6052360534668
2023-07-04,DASH-USD,36.31581497192383
2023-07-05,DASH-USD,35.07575988769531
2023-07-06,DASH-USD,33.65716552734375
2023-07-07,DASH-USD,33.93180847167969
2023-07-08,DASH-USD,33.66695785522461
2023-07-09,DASH-USD,33.42804718017578
2023-07-10,DASH-USD,33.597251892089844
2023-07-11,DASH-USD,33.48733901977539
2023-07-12,DASH-USD,33.442569732666016
2023-07-13,DASH-USD,35.99327087402344
2023-07-14,DASH-USD,34.24668502807617
2023-07-15,DASH-USD,33.98428726196289
2023-07-16,DASH-USD,32.75015640258789
2023-07-17,DASH-USD,33.061161041259766
