model,MAE,RMSE,MAPE
arima,721.5769260366613,941.6009714969387,18.01241845185542
prophet,876.5532870720831,1119.1743052438517,21.84467837876337
xgb_or_rf,1600.9741351676746,1778.6886340953893,49.68719657136494
lstm,1385.455154807422,1540.9160542836082,41.10105381369398
