date,actual_close,predicted_close,model
2025-05-13,2680.129638671875,2526.033880932082,lstm
2025-05-14,2610.063232421875,2562.7562825247737,lstm
2025-05-15,2546.85693359375,2605.1566210480482,lstm
2025-05-16,2536.297607421875,2652.8556684446353,lstm
2025-05-17,2475.75439453125,2701.3749311423057,lstm
2025-05-18,2498.233642578125,2751.485217650531,lstm
2025-05-19,2529.166748046875,2804.357924438641,lstm
2025-05-20,2524.173095703125,2859.9231785283387,lstm
2025-05-21,2552.34716796875,2916.2188064717725,lstm
2025-05-22,2664.156982421875,2980.554871933372,lstm
2025-05-23,2526.44189453125,3046.5170757113783,lstm
2025-05-24,2530.646240234375,3124.5019695938504,lstm
2025-05-25,2551.763916015625,3203.8272055527095,lstm
2025-05-26,2564.138427734375,3284.3070268271417,lstm
2025-05-27,2663.06982421875,3363.1610937638875,lstm
2025-05-28,2682.212890625,3435.898814701414,lstm
2025-05-29,2632.65478515625,3503.8491518206756,lstm
2025-05-30,2529.943603515625,3576.6957794882196,lstm
2025-05-31,2529.08740234375,3651.665785906828,lstm
2025-06-01,2536.266357421875,3721.963093012934,lstm
2025-06-02,2607.097412109375,3785.255838986795,lstm
2025-06-03,2593.2802734375,3821.635972795245,lstm
2025-06-04,2608.64306640625,3868.7077533878173,lstm
2025-06-05,2416.28564453125,3912.626948093646,lstm
2025-06-06,2477.19482421875,4009.266679963739,lstm
2025-06-07,2526.50537109375,4047.0986436601247,lstm
2025-06-08,2510.787109375,4063.767834214398,lstm
2025-06-09,2681.51708984375,4081.7259833631397,lstm
2025-06-10,2813.517578125,4061.070920314446,lstm
2025-06-11,2773.529296875,4037.9441489914398,lstm
2025-06-12,2651.795166015625,4008.0487766820816,lstm
2025-06-13,2579.486083984375,3991.8239970363784,lstm
2025-06-14,2533.444091796875,3984.901149347121,lstm
2025-06-15,2546.837158203125,3989.099053392319,lstm
2025-06-16,2540.60498046875,3996.3885702453476,lstm
2025-06-17,2510.761474609375,4015.72067538031,lstm
2025-06-18,2524.301513671875,4042.2465421681604,lstm
2025-06-19,2521.653564453125,4045.5411101833547,lstm
2025-06-20,2407.30419921875,4063.2706581409743,lstm
2025-06-21,2300.49560546875,4157.372537805517,lstm
2025-06-22,2228.213134765625,4272.981540710286,lstm
2025-06-23,2421.824951171875,4318.0957189048195,lstm
2025-06-24,2448.0087890625,4283.1442250195505,lstm
2025-06-25,2419.310302734375,4248.76309771739,lstm
2025-06-26,2416.146728515625,4220.892360763405,lstm
2025-06-27,2423.866943359375,4192.406421353684,lstm
2025-06-28,2437.109375,4166.204780813047,lstm
2025-06-29,2500.9599609375,4146.535441854865,lstm
2025-06-30,2486.46435546875,4139.886043675354,lstm
2025-07-01,2405.792724609375,4166.218903610928,lstm
2025-07-02,2571.33544921875,4209.743001246428,lstm
2025-07-03,2591.00732421875,4217.299715079375,lstm
2025-07-04,2508.518310546875,4194.867649516533,lstm
2025-07-05,2517.280029296875,4181.718632729694,lstm
2025-07-06,2571.236572265625,4170.803981638164,lstm
2025-07-07,2543.01318359375,4150.847922252506,lstm
2025-07-08,2615.505859375,4125.944392411192,lstm
2025-07-09,2770.777587890625,4099.29295955759,lstm
2025-07-10,2954.84521484375,4074.051736032358,lstm
2025-07-11,2957.88623046875,4055.770583972104,lstm
2025-07-12,2942.91162109375,4038.953265042957,lstm
2025-07-13,2973.35888671875,4028.40979959578,lstm
2025-07-14,3013.350830078125,4021.5572450795444,lstm
2025-07-15,3139.8896484375,4020.956308427515,lstm
2025-07-16,3371.5068359375,4030.0938781062455,lstm
2025-07-17,3476.784423828125,4045.451131765916,lstm
2025-07-18,3549.016357421875,4059.7852076923964,lstm
2025-07-19,3595.273681640625,4077.2379214393973,lstm
2025-07-20,3759.471435546875,4093.461119297946,lstm
2025-07-21,3763.371337890625,4114.784319825371,lstm
2025-07-22,3749.1455078125,4138.4102404506275,lstm
2025-07-23,3629.70361328125,4172.559023758179,lstm
2025-07-24,3708.005615234375,4206.212143068368,lstm
2025-07-25,3727.266845703125,4240.520272289929,lstm
2025-07-26,3741.39599609375,4274.129065346322,lstm
2025-07-27,3875.24658203125,4302.755196556453,lstm
2025-07-28,3787.42578125,4329.5244163069865,lstm
2025-07-29,3793.454833984375,4356.381212157615,lstm
2025-07-30,3808.20166015625,4380.899400370532,lstm
2025-07-31,3696.707763671875,4399.86468778466,lstm
2025-08-01,3488.365966796875,4413.740460775286,lstm
2025-08-02,3392.7412109375,4418.101265445012,lstm
2025-08-03,3497.379150390625,4410.756204113276,lstm
2025-08-04,3718.986083984375,4391.116406218794,lstm
2025-08-05,3611.8994140625,4364.928655930508,lstm
2025-08-06,3683.920654296875,4335.669675085617,lstm
2025-08-07,3914.325927734375,4302.8102858683305,lstm
2025-08-08,4009.848876953125,4266.342918615152,lstm
2025-08-09,4263.59912109375,4224.971088601265,lstm
2025-08-10,4254.2177734375,4185.271175504556,lstm
2025-08-11,4226.966796875,4142.894634299787,lstm
2025-08-12,4590.9248046875,4105.788091062401,lstm
2025-08-13,4756.27587890625,4078.4590232663368,lstm
2025-08-14,4548.16650390625,4048.4608446692387,lstm
2025-08-15,4439.98876953125,4015.830337363405,lstm
2025-08-16,4426.18017578125,3980.5177194647886,lstm
2025-08-17,4473.271484375,3943.447682900912,lstm
2025-08-18,4312.5048828125,3908.2429288104922,lstm
2025-08-19,4073.464111328125,3875.1978872096443,lstm
2025-08-20,4334.50048828125,3843.1697670831427,lstm
2025-08-21,4223.2099609375,3816.4143012898126,lstm
2025-08-22,4831.3486328125,3780.3898341053846,lstm
2025-08-23,4776.09033203125,3772.618018700008,lstm
2025-08-24,4779.6474609375,3745.466851900349,lstm
2025-08-25,4372.98779296875,3719.916877172752,lstm
2025-08-26,4600.4267578125,3697.0750590326347,lstm
2025-08-27,4503.39306640625,3671.4825588701565,lstm
2025-08-28,4507.177734375,3637.988836187993,lstm
2025-08-29,4360.15283203125,3599.52817597494,lstm
2025-08-30,4374.1533203125,3556.1661878721497,lstm
2025-08-31,4390.01904296875,3506.096258467118,lstm
2025-09-01,4314.47021484375,3449.982722195455,lstm
2025-09-02,4325.36572265625,3390.8332554328845,lstm
2025-09-03,4450.38916015625,3329.2343489402438,lstm
2025-09-04,4298.744140625,3264.435269062567,lstm
2025-09-05,4306.98876953125,3203.531774092754,lstm
2025-09-06,4274.2421875,3143.3645050369,lstm
2025-09-07,4305.34765625,3091.4797047049287,lstm
2025-09-08,4308.072265625,3045.4405230135067,lstm
2025-09-09,4309.04150390625,2998.9259524375157,lstm
