cluster,selected_coin,avg_volume,obs_count,avg_drawdown
0,SOL-USD,3434436298.3032866,1065,-0.24556878650427008
1,BTC-USD,36787246281.157745,1065,-0.12564426872574944
2,ETH-USD,18829658357.62723,1065,-0.1777606614021561
3,AVAX-USD,488396576.82347417,1065,-0.2808359140039202
