date,symbol,close,drawdown
2022-12-11,MKR-USD,602.1458740234375,0.0
2022-12-12,MKR-USD,588.908935546875,-0.02198294308340187
2022-12-13,MKR-USD,603.2882690429688,0.0
2022-12-14,MKR-USD,606.1576538085938,0.0
2022-12-15,MKR-USD,590.2776489257812,-0.026197813032691534
2022-12-16,MKR-USD,540.0326538085938,-0.10908878174601137
2022-12-17,MKR-USD,553.341796875,-0.08713221156532884
2022-12-18,MKR-USD,554.1646118164062,-0.08577478427519011
2022-12-19,MKR-USD,527.2643432617188,-0.1301531211412982
2022-12-20,MKR-USD,558.33984375,-0.07888675455658466
2022-12-21,MKR-USD,551.1961669921875,-0.09067193406050998
2022-12-22,MKR-USD,551.4708862304688,-0.09021871988998002
2022-12-23,MKR-USD,553.7487182617188,-0.08646089877374402
2022-12-24,MKR-USD,551.2184448242188,-0.0906351815227976
2022-12-25,MKR-USD,540.2932739257812,-0.10865882740071856
2022-12-26,MKR-USD,548.9324951171875,-0.09440639465962468
2022-12-27,MKR-USD,541.7460327148438,-0.10626215917433461
2022-12-28,MKR-USD,518.1635131835938,-0.14516708660216948
2022-12-29,MKR-USD,520.0272827148438,-0.1420923592279631
2022-12-30,MKR-USD,522.248046875,-0.1384286850234013
2022-12-31,MKR-USD,510.5272216796875,-0.15776495030301713
2023-01-01,MKR-USD,513.0187377929688,-0.15365460690039467
2023-01-02,MKR-USD,511.6665649414063,-0.15588533490171003
2023-01-03,MKR-USD,505.0352478027344,-0.1668252563841927
2023-01-04,MKR-USD,518.8180541992188,-0.14408726683661444
2023-01-05,MKR-USD,527.2825927734375,-0.1301230142679393
2023-01-06,MKR-USD,539.4475708007812,-0.1100540141474111
2023-01-07,MKR-USD,552.639892578125,-0.08829016823297928
2023-01-08,MKR-USD,592.6702270507812,-0.022250691174265733
2023-01-09,MKR-USD,617.2991943359375,0.0
2023-01-10,MKR-USD,631.6663208007812,0.0
2023-01-11,MKR-USD,636.578125,0.0
2023-01-12,MKR-USD,652.57568359375,0.0
2023-01-13,MKR-USD,688.4780883789062,0.0
2023-01-14,MKR-USD,709.341796875,0.0
2023-01-15,MKR-USD,700.1795043945312,-0.012916611598009818
2023-01-16,MKR-USD,688.28125,-0.029690266339558846
