cluster,selected_coin,avg_volume,obs_count,avg_drawdown
0,XRP-USD,3359125292.2300467,1065,-0.1979571559570232
1,BTC-USD,36420178469.8723,1065,-0.12178532846114606
2,AVAX-USD,492557809.10985917,1065,-0.27700525467832765
3,ETH-USD,18511679077.996243,1065,-0.17299055660861234
